Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
BRUN,27.33,4.97,45.17,1.3,Technology,Software - Infrastructure,74.27,77.9,Bull,0.72,92.5,1.17,84.8,
SATL,9.1,5.27,20.15,1.4,Industrials,Aerospace & Defense,44.59,66.1,Bull,0.15,31.24,0.48,79.0,4.6
CSCO,116.83,1.13,20.98,461.6,Technology,Communication Equipment,31.46,88.0,Bull,2.27,35.46,0.33,77.7,4.19
PBT,28.41,3.97,22.97,1.3,Energy,Oil & Gas Midstream,25.64,73.1,Bull,0.59,32.9,0.28,77.3,
BAND,53.4,2.5,7.04,1.7,Technology,Software - Infrastructure,78.38,91.4,Bull,1.02,132.07,0.19,76.6,4.2
NEXT,9.16,2.69,21.16,2.4,Energy,Oil & Gas Equipment & Services,23.81,67.5,Bull,0.12,33.92,0.15,76.3,4.0
COCO,76.41,-0.04,6.72,4.4,Consumer Defensive,Beverages - Non-Alcoholic,28.73,83.4,Bull,1.3,58.13,0.1,75.8,
LUNR,35.33,-3.26,21.95,5.6,Industrials,Aerospace & Defense,41.59,69.0,Bull,0.91,28.1,0.31,75.7,4.44
HUM,297.19,-1.38,8.08,35.7,Healthcare,Healthcare Plans,31.31,81.5,Bull,5.47,44.87,0.07,75.6,3.35
STAA,31.54,-1.47,18.17,1.6,Healthcare,Medical Instruments & Supplies,28.46,75.1,Bull,0.29,25.76,0.11,71.7,3.55
FIG,22.52,11.29,9.03,11.9,Technology,Software - Application,5.18,61.7,Bull,0.49,19.05,1.28,67.3,3.42
MICC,16.68,11.09,12.81,10.2,Consumer Defensive,Packaged Foods,12.45,70.8,Bull,0.22,14.44,1.31,66.6,3.0
TDC,33.14,-0.96,4.91,3.1,Technology,Software - Infrastructure,15.86,71.5,Bull,0.54,22.29,0.04,65.5,3.0
VG,14.01,7.69,22.36,34.8,Energy,Oil & Gas Midstream,11.15,57.6,Bull,0.16,22.25,0.24,64.8,3.79
CBOE,361.98,0.92,3.85,37.9,Financial Services,Financial Data & Stock Exchanges,15.89,72.1,Bull,3.26,20.69,0.11,64.5,2.88
WES,46.89,2.22,7.82,18.4,Energy,Oil & Gas Midstream,12.65,78.5,Bull,0.5,18.19,0.37,62.6,3.29
SUNC,70.76,0.65,7.13,3.6,Energy,Oil & Gas Midstream,13.17,74.3,Bull,0.54,19.39,0.08,61.6,4.67
