Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
CSCO,114.66,12.56,24.41,452.9,Technology,Communication Equipment,30.74,87.2,Bull,1.69,35.69,1.28,85.7,4.15
STAA,31.76,8.04,16.44,1.6,Healthcare,Medical Instruments & Supplies,30.96,78.1,Bull,0.2,29.02,1.39,85.6,
STUB,9.0,19.68,17.34,3.4,Communication Services,Internet Content & Information,15.06,71.8,Bull,0.12,31.96,1.3,83.4,3.86
PCT,11.72,14.9,31.1,2.1,Industrials,Pollution & Treatment Controls,53.33,84.9,Bull,0.37,71.85,0.92,82.6,4.0
BRUN,23.83,13.5,27.8,1.2,Technology,Software - Infrastructure,57.59,72.9,Bull,0.34,74.62,0.82,81.8,
POET,18.57,29.23,93.84,2.8,Technology,Semiconductors,110.3,75.1,Bull,0.83,153.0,0.77,81.4,
NBTX,53.83,3.44,26.33,2.6,Healthcare,Biotechnology,52.2,72.3,Bull,1.95,65.83,0.68,80.7,4.57
HPE,33.62,4.83,13.2,44.6,Technology,Communication Equipment,25.62,75.5,Bull,0.24,29.86,0.61,80.0,3.83
LUNR,35.28,-1.12,46.33,5.6,Industrials,Aerospace & Defense,44.09,70.6,Bull,0.84,29.33,0.62,79.5,4.44
OUST,33.4,-2.24,36.29,2.1,Technology,Electronic Components,34.96,67.7,Bull,0.43,38.21,0.38,78.2,4.67
NBIS,219.97,6.13,19.05,55.8,Communication Services,Internet Content & Information,50.43,72.6,Bull,3.95,33.04,0.35,78.0,4.12
AEVA,20.02,-1.16,46.6,1.3,Technology,Software - Infrastructure,30.66,65.8,Bull,0.46,35.67,0.33,77.8,4.6
SLS,6.43,-1.56,30.39,1.2,Healthcare,Biotechnology,31.25,70.2,Bull,0.16,30.39,0.29,77.4,
UMC,17.03,6.97,12.34,42.8,Technology,Semiconductors,42.15,83.4,Bull,0.28,60.36,0.26,77.2,2.2
KEEL,4.22,1.81,5.36,2.6,Technology,Information Technology Services,41.91,70.9,Bull,0.07,54.2,0.27,77.2,4.67
XMTR,86.22,0.03,9.83,4.5,Industrials,Industrial Distribution,55.71,87.1,Bull,3.61,83.72,0.26,77.1,4.11
CLOV,3.59,1.03,27.18,1.9,Healthcare,Healthcare Plans,45.54,86.5,Bull,0.09,66.05,0.21,76.7,3.67
MTSI,378.73,-0.74,9.94,28.8,Technology,Semiconductors,35.82,81.2,Bull,8.14,44.87,0.18,76.5,4.4
STRL,872.33,2.11,7.51,26.8,Industrials,Engineering & Construction,57.02,77.3,Bull,26.61,97.76,0.15,76.2,5.0
OSCR,23.6,-0.08,13.08,7.1,Healthcare,Healthcare Plans,39.42,86.1,Bull,0.47,50.99,0.14,76.1,2.91
STX,824.48,0.87,7.57,184.9,Technology,Computer Hardware,42.04,79.4,Bull,7.89,55.03,0.08,75.7,4.5
WSC,26.09,0.79,11.99,4.7,Industrials,Rental & Leasing Services,20.14,66.1,Bull,0.3,37.63,0.03,75.3,3.6
GEO,23.26,2.69,9.61,3.1,Industrials,Security & Protection Services,25.55,74.0,Bull,0.32,28.08,0.08,73.8,5.0
BTSG,57.42,1.63,8.46,11.1,Healthcare,Health Information Services,21.09,76.9,Bull,0.52,25.37,0.04,70.7,4.88
HRI,137.43,0.38,4.2,4.6,Industrials,Rental & Leasing Services,10.77,62.4,Bull,0.99,32.02,0.03,70.6,4.11
F,14.6,7.55,21.34,58.0,Consumer Cyclical,Auto Manufacturers,18.39,76.0,Bull,0.22,18.8,0.87,70.3,3.29
LTH,34.38,1.75,6.8,7.7,Consumer Cyclical,Leisure,19.81,73.2,Bull,0.67,24.12,0.07,69.6,4.71
CMP,31.16,3.14,10.34,1.3,Basic Materials,Other Industrial Metals & Mining,21.57,72.9,Bull,0.42,20.54,0.28,67.8,3.75
ORA,135.72,1.75,10.77,8.3,Utilities,Utilities - Renewable,16.96,77.4,Bull,2.24,20.62,0.37,67.2,4.18
VSTS,11.52,2.36,23.95,1.5,Industrials,Rental & Leasing Services,27.87,69.2,Bull,0.17,21.47,0.05,66.9,2.75
BLBD,72.39,1.96,2.2,2.3,Industrials,Farm & Heavy Construction Machinery,16.49,70.0,Bull,0.62,22.43,0.08,66.3,4.43
NOVT,153.45,-1.28,12.6,5.5,Technology,Scientific & Technical Instruments,16.44,67.4,Bull,2.62,21.88,0.06,65.6,4.67
LLYVA,97.21,0.75,1.91,8.9,Communication Services,Entertainment,5.18,60.1,Bull,0.54,2.79,7.14,65.4,
IESC,688.6,1.6,3.45,13.7,Industrials,Engineering & Construction,21.71,68.6,Bull,2.21,42.46,0.16,63.8,3.0
EXTR,23.76,4.35,1.02,3.1,Technology,Communication Equipment,26.0,70.6,Bull,0.08,35.77,0.1,63.8,4.62
VSAT,72.14,2.21,8.76,9.8,Technology,Communication Equipment,23.59,68.4,Bull,0.4,17.82,0.09,63.6,4.12
TTMI,169.02,0.12,9.92,17.6,Technology,Electronic Components,31.15,71.6,Bull,0.54,44.55,0.11,63.4,4.75
