=== Stock Screener — 2026-05-19 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2740 stocks with market cap > $1B
  Top 5 by daily gain: RAMP(+27.3%), TE(+23.5%), GENI(+22.2%), BRC(+19.0%), AVEX(+14.9%)
Screening 2740 stocks (this may take 15-20 min)...

  Progress: 200/2740 (92 passed, 0 errors)
  Progress: 400/2740 (165 passed, 0 errors)
  Progress: 600/2740 (234 passed, 0 errors)
  Progress: 800/2740 (261 passed, 122 errors)
  Progress: 1000/2740 (261 passed, 322 errors)
  Progress: 1200/2740 (261 passed, 522 errors)
  Progress: 1400/2740 (261 passed, 722 errors)
  Progress: 1600/2740 (261 passed, 922 errors)
  Progress: 1800/2740 (261 passed, 1122 errors)
  Progress: 2000/2740 (261 passed, 1322 errors)
  Progress: 2200/2740 (261 passed, 1522 errors)
  Progress: 2400/2740 (261 passed, 1722 errors)
  Progress: 2600/2740 (261 passed, 1922 errors)
  Progress: 2740/2740 (261 passed, 2062 errors)

  Retrying 2062 tickers that errored...
  After retry: 261 total passed

================================================================================
  261 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                             Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
36    RBRK    66.02   1.60   9.17      13.6              Technology            Software - Infrastructure       16.82  70.4  Bull       0.70   22.21       0.09      66.4    4.83
37    FFIV   381.15   0.37   7.37      21.5              Technology            Software - Infrastructure       19.37  79.0  Bull       3.49   20.79       0.05      65.9    3.46
38     SFM    91.49   3.51   5.29       8.6      Consumer Defensive                       Grocery Stores       15.57  70.4  Bull       1.15   21.52       0.08      64.9    3.75
39    PTEN    12.95   0.78   7.38       4.9                  Energy                   Oil & Gas Drilling       18.50  67.9  Bull       0.06   22.63       0.04      64.7    3.80
40     MNR    14.90   0.95   4.71       2.5                  Energy                        Oil & Gas E&P       10.57  70.9  Bull       0.13   15.50       1.02      64.3    4.50
41    VCYT    40.90  -1.46   3.37       3.3              Healthcare               Diagnostics & Research       13.85  64.9  Bull       0.40   22.04       0.03      64.2    4.36
42    SAIL    14.73   0.96  26.87       8.4              Technology            Software - Infrastructure       13.65  69.9  Bull       0.37   21.13       0.08      63.6    4.39
43    NTNX    48.92   3.10  10.18      13.2              Technology            Software - Infrastructure       15.17  71.9  Bull       0.42   19.11       0.15      62.9    3.88
44    VOYG    36.28  -5.47  24.25       2.2             Industrials                  Aerospace & Defense       23.65  63.0  Bull       1.05   16.69       0.15      62.9    4.30
45    VNET    10.45  -0.67  15.85       3.0              Technology      Information Technology Services       11.29  61.2  Bull       0.22   20.39       0.09      61.8    4.46
46    PUMP    18.15   0.64  12.63       2.2                  Energy       Oil & Gas Equipment & Services       18.92  66.2  Bull       0.08   20.32       0.03      61.4    4.09
47     WES    47.01  -0.34   5.57      18.5                  Energy                  Oil & Gas Midstream       11.90  77.8  Bull       0.47   18.38       0.23      61.3    3.15
48     HRB    38.29  -1.08   4.42       4.9       Consumer Cyclical                    Personal Services       14.56  67.5  Bull       0.59   18.54       0.04      61.2    2.75
49     BTI    65.96  -0.59   3.65     142.6      Consumer Defensive                              Tobacco       10.38  67.9  Bull       0.82   20.30       0.07      61.0    4.33
50    BORR     6.51  -1.51   5.68       2.0                  Energy                   Oil & Gas Drilling       12.45  65.3  Bull       0.05   18.58       0.09      60.6     NaN
51    TENB    23.57   1.95  12.18       2.6              Technology            Software - Infrastructure       15.02  69.4  Bull       0.17   17.21       0.06      60.2     NaN
52    NSIT    89.87  -0.79   3.28       2.7              Technology  Electronics & Computer Distribution       14.54  70.6  Bull       1.66   16.99       0.02      59.4    3.60
53    SDRL    54.35  -0.82   8.79       3.4                  Energy                   Oil & Gas Drilling       14.63  75.0  Bull       0.47   15.59       0.06      58.4    4.29
54    SNOW   173.22   5.47  13.98      60.0              Technology               Software - Application       10.58  68.4  Bull       3.27   14.84       0.36      58.1    4.49
55     WKC    28.76  -1.27   5.00       1.5                  Energy       Oil & Gas Refining & Marketing       11.88  74.0  Bull       0.13   21.50       0.01      58.1    2.33
56     WMG    34.01  -1.59   1.22      17.7  Communication Services                        Entertainment       14.80  69.9  Bull       0.34   15.37       0.03      58.0    4.35
57    MNDY    80.28   2.87  11.52       4.1              Technology               Software - Application        7.17  60.7  Bull       0.77   18.30       0.12      57.9    4.35
58    INVX    30.61   1.04  11.69       2.1                  Energy       Oil & Gas Equipment & Services       14.58  76.3  Bull       0.27   15.18       0.04      57.8    4.25
59    FICO  1221.10   3.32  12.44      28.3              Technology               Software - Application        8.00  67.6  Bull      18.75   17.79       0.12      57.8    4.14
60     LPG    41.61  -0.67   6.10       1.8                  Energy                  Oil & Gas Midstream       15.36  74.4  Bull       0.17   20.02       0.11      57.6    4.40
61    VIST    77.75  -0.96  12.23       8.2                  Energy                        Oil & Gas E&P       14.03  64.6  Bull       0.74   14.55       0.07      57.2    4.64
62    PLGO    23.60  -0.21  15.97       2.0      Financial Services              Insurance - Diversified       14.50  72.8  Bull       0.26   14.29       0.05      56.9    3.11
63    OKTA    88.19   1.33  11.55      15.5              Technology            Software - Infrastructure       12.21  66.9  Bull       1.02   13.59       0.11      55.6    4.29
64     WHD    60.69   0.58   6.05       4.2                  Energy       Oil & Gas Equipment & Services       12.30  67.9  Bull       0.36   13.80       0.07      55.6    4.00
65     DBX    28.09   0.39   8.83       6.6              Technology            Software - Infrastructure       11.48  65.3  Bull       0.26   14.23       0.07      55.5    2.50
66    GTLB    25.67   2.31  11.22       4.3              Technology            Software - Infrastructure        6.57  60.0  Bull       0.13   15.89       0.10      55.0    3.48
67    VRSN   304.52  -0.26   6.55      27.7              Technology            Software - Infrastructure       12.95  74.7  Bull       2.02   12.88       0.05      54.8    4.00
68      NE    53.84  -0.97   5.05       8.6                  Energy                   Oil & Gas Drilling       10.75  64.3  Bull       0.32   13.68       0.03      54.3    3.50
69    QLYS    98.96   1.00   9.80       3.5              Technology            Software - Infrastructure        6.56  63.0  Bull       0.96   14.69       0.05      53.4    3.27
70    PLSE    25.85   0.94  10.94       1.8              Healthcare       Medical Instruments & Supplies       20.66  62.1  Bull       0.61    7.80       0.04      53.2    5.00
71     BVC    11.35   7.69  19.35       1.9              Technology               Software - Application       17.39  62.2  Bull       0.03    6.17       2.00      52.6     NaN
72      DT    40.74   2.23   3.90      12.0              Technology               Software - Application        8.41  60.0  Bull       0.20   14.05       0.05      52.4    4.24
73     YPF    47.52   0.08   5.72      20.1                  Energy                 Oil & Gas Integrated       11.37  64.8  Bull       0.28   10.20       0.13      52.0    4.23
74     ARX    16.22   1.95  20.24       3.5      Financial Services                    Insurance Brokers       20.26  67.5  Bull       0.29    6.36       0.06      51.8    4.40
75     KGS    75.67  -0.15   1.38       7.6                  Energy       Oil & Gas Equipment & Services       18.50  74.1  Bull       0.23   20.94       0.02      51.7    4.67
76    ESTC    54.64   1.35   9.08       5.7              Technology               Software - Application        5.79  62.9  Bull       0.64   12.92       0.08      51.5    4.10
77     IMO   137.86  -0.34   3.33      68.5                  Energy                 Oil & Gas Integrated        8.86  63.4  Bull       0.83   11.35       0.03      51.0    2.18
78    LIVN    71.78  -0.62   0.04       3.9              Healthcare                      Medical Devices        9.14  61.2  Bull       0.74   11.24       0.01      50.9    4.27
79    DKNG    25.84   0.25   5.02      12.8       Consumer Cyclical                             Gambling        6.02  63.9  Bull       0.19   12.42       0.04      50.8    4.41
80     ADP   225.11   0.97   5.29      90.0              Technology               Software - Application        6.67  66.6  Bull       1.53   10.96       0.11      50.2    3.28
81    ERIC    12.68  -1.25   2.84      42.1              Technology              Communication Equipment        8.46  62.2  Bull       0.09    9.69       0.13      50.0     NaN
82    PAYC   143.05   2.78   3.96       6.7              Technology               Software - Application        9.47  65.3  Bull       0.79    9.67       0.06      49.9    3.60
83     SVC     1.71  -0.58   5.56       1.1             Real Estate                 REIT - Hotel & Motel        3.73  59.5  Bull       0.03   12.50       0.04      49.7    4.00
84     NOW   107.56   4.00  20.85     111.0              Technology               Software - Application        8.07  64.4  Bull       2.16    7.41       0.39      49.7    4.56
85     CNQ    48.98   0.06   4.39     102.2                  Energy                        Oil & Gas E&P        7.04  61.5  Bull       0.34   10.61       0.05      49.5    3.73
