=== Stock Screener — 2026-05-21 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2743 stocks with market cap > $1B
  Top 5 by daily gain: IMVT(+33.9%), TE(+29.9%), XNDU(+23.8%), HIVE(+19.3%), NVTS(+16.3%)
Screening 2743 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2443

  === Priority Tier ===
  Priority: 300/300 (78 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2443 (138 total passed)
  Remaining: 600/2443 (157 total passed)
  Remaining: 900/2443 (157 total passed)
  Remaining: 1200/2443 (157 total passed)
  Remaining: 1500/2443 (157 total passed)
  Remaining: 1800/2443 (157 total passed)
  Remaining: 2100/2443 (157 total passed)
  Remaining: 2400/2443 (157 total passed)
  Remaining: 2443/2443 (157 total passed)

  Final: 157 stocks passed all filters

================================================================================
  157 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
37    FICO  1205.66  -2.00  11.95      28.0              Technology                    Software - Application        6.09  64.1  Bull      19.59   23.06       0.03      61.4    4.14
38    WLDN    92.50  -0.11   0.92       1.4             Industrials                Engineering & Construction        8.14  62.7  Bull       1.24   20.55       0.01      59.7    5.00
39    MICC    15.90  -1.49   5.86       9.7      Consumer Defensive                            Packaged Foods        6.12  58.7  Bull       0.15   20.91       0.04      59.3     NaN
40    WERN    39.38  -1.48   6.00       2.4             Industrials                                  Trucking       15.32  68.5  Bull       0.27   16.13       0.04      59.1    2.93
41    ROIV    32.61   0.62  10.54      23.5              Healthcare                             Biotechnology       14.77  70.6  Bull       0.35   15.88       0.09      59.0    4.69
42     SVC     1.73  -2.54   2.07       1.1             Real Estate                      REIT - Hotel & Motel        4.26  57.7  Bull       0.02   20.63       0.03      58.0    4.00
43    AMBA    83.72   0.87   3.31       3.7              Technology       Semiconductor Equipment & Materials       23.02  71.4  Bull       0.20   36.49       0.10      57.4     NaN
44    EBAY   118.22  -0.62   4.40      52.5       Consumer Cyclical                           Internet Retail       14.82  70.4  Bull       0.65   14.33       0.03      57.0    3.35
45    SWKS    73.19  -1.56   9.14      11.0              Technology                            Semiconductors       15.27  64.2  Bull       0.31   18.91       0.04      56.8    3.28
46    PRCT    28.24   0.44   7.03       1.6              Healthcare                           Medical Devices        9.24  61.2  Bull       0.29   16.48       0.02      56.3    4.00
