Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
BULLW,3.27,3.48,11.6,1.7,,,31.89,71.0,Bull,0.07,42.17,3.17,100.0,
HMY,23.54,6.9,21.09,14.9,Basic Materials,Gold,33.47,77.9,Bull,0.42,48.33,1.77,89.7,
DRD,30.7,4.03,26.91,2.7,N/A,N/A,29.17,81.6,Bull,0.84,46.61,1.71,89.3,
TRLV,11.1,8.29,15.03,2.1,Healthcare,Drug Manufacturers - Specialty & Generic,21.74,71.9,Bull,0.22,32.78,1.71,89.2,4.86
AMR,210.01,8.09,26.47,2.7,Basic Materials,Coking Coal,27.35,81.8,Bull,6.92,46.92,1.41,86.7,3.0
NSSC,50.49,32.55,32.66,1.4,N/A,N/A,31.12,83.7,Bull,0.61,38.71,1.03,83.6,
SII,132.34,4.57,13.72,3.4,Financial Services,Asset Management,13.71,67.4,Bull,1.98,29.13,1.49,83.4,
SLNHP,12.29,-1.76,0.16,3.0,Financial Services,Capital Markets,11.6,64.9,Bull,0.07,20.02,2.67,83.1,
PRGO,14.25,4.01,9.28,2.0,N/A,N/A,22.82,71.7,Bull,0.17,41.23,0.88,82.3,
TOP,14.13,6.4,26.95,1.8,Financial Services,Capital Markets,105.98,73.5,Bull,0.14,545.21,0.8,81.7,
MP,60.05,9.1,2.23,10.7,Basic Materials,Other Industrial Metals & Mining,13.52,65.2,Bull,1.14,45.4,1.13,81.2,4.72
BRZE,30.79,-0.87,10.16,3.8,N/A,N/A,18.82,64.8,Bull,0.27,30.97,0.82,81.2,
RUM,8.98,-0.77,8.98,4.5,N/A,N/A,28.48,75.2,Bull,0.25,48.68,0.25,77.1,
ASST,18.76,2.96,42.12,1.6,Financial Services,Asset Management,39.59,77.8,Bull,0.74,53.9,0.2,76.7,4.8
IAUX,1.88,3.87,13.94,1.6,Basic Materials,Gold,22.55,69.4,Bull,0.03,40.3,0.13,76.1,
CRCL,90.64,3.03,21.52,22.3,Financial Services,Capital Markets,21.57,71.3,Bull,2.78,38.03,0.13,76.1,3.67
EXK,11.04,3.91,8.83,3.1,Basic Materials,Silver,19.88,64.8,Bull,0.13,38.98,0.14,76.1,4.75
BMNR,23.86,4.51,27.39,13.8,Financial Services,Capital Markets,31.77,76.0,Bull,0.53,33.15,0.12,76.0,
AIIR,7.74,6.76,3.75,1.2,Consumer Defensive,Tobacco,9.13,60.8,Bull,0.14,30.74,0.76,75.9,
SLS,15.38,-0.52,18.31,3.1,Healthcare,Biotechnology,33.24,69.1,Bull,0.38,41.88,0.1,75.9,4.5
IOVA,7.92,-4.46,11.55,3.8,Healthcare,Biotechnology,43.25,66.9,Bull,0.2,61.63,0.1,75.9,4.33
PURR,10.94,3.4,53.01,2.1,Financial Services,Capital Markets,44.09,80.5,Bull,0.54,72.56,0.11,75.9,
ALVO,4.83,9.03,24.48,1.7,Healthcare,Drug Manufacturers - Specialty & Generic,28.34,75.1,Bull,0.08,56.82,0.1,75.9,4.0
AU,120.53,-0.57,21.78,61.3,Basic Materials,Gold,31.42,80.1,Bull,3.14,50.71,0.09,75.7,4.38
NG,9.02,3.44,16.39,3.8,Basic Materials,Gold,24.69,74.0,Bull,0.18,51.34,0.09,75.7,4.43
ERO,39.53,0.29,13.25,4.1,Basic Materials,Copper,29.62,72.8,Bull,0.54,50.9,0.07,75.6,4.06
TEM,71.14,-2.13,37.76,13.1,Healthcare,Health Information Services,33.37,72.1,Bull,2.57,65.79,0.07,75.6,3.81
AVAH,13.82,5.02,8.9,2.9,Healthcare,Medical Care Facilities,39.26,81.3,Bull,0.35,42.92,0.07,75.6,4.27
SBSW,12.59,0.08,14.77,8.9,Basic Materials,Other Precious Metals & Mining,23.41,76.7,Bull,0.25,47.25,0.06,75.5,4.0
ELE,22.72,2.11,6.97,1.4,Basic Materials,Other Precious Metals & Mining,24.93,76.1,Bull,0.34,42.98,0.07,75.5,4.67
WK,74.26,-0.76,6.28,4.1,Technology,Software - Application,21.8,70.1,Bull,0.5,33.2,0.06,75.5,
NEM,133.61,1.54,11.04,138.6,Basic Materials,Gold,24.23,77.1,Bull,2.26,42.94,0.05,75.4,4.43
XXI,6.64,2.39,34.24,3.6,Consumer Defensive,Education & Training Services,23.64,74.6,Bull,0.27,46.69,0.05,75.4,
AEM,219.46,1.57,16.25,109.7,Basic Materials,Gold,27.17,82.6,Bull,4.91,50.36,0.05,75.4,4.27
MRNA,144.54,-0.41,124.23,57.9,Healthcare,Biotechnology,98.44,71.3,Bull,10.36,159.82,0.05,75.4,3.17
ALMR,33.92,-0.95,5.56,2.4,Healthcare,Medical Devices,21.17,62.5,Bull,0.27,39.0,0.05,75.4,4.4
ETON,64.0,0.84,3.68,1.8,Healthcare,Drug Manufacturers - Specialty & Generic,43.24,74.1,Bull,1.5,51.26,0.05,75.4,5.0
ARIS,21.03,0.81,16.06,4.3,Basic Materials,Gold,25.83,75.6,Bull,0.49,41.52,0.04,75.3,4.5
GFI,47.85,0.08,15.3,42.8,Basic Materials,Gold,24.59,78.1,Bull,0.98,45.4,0.04,75.3,4.25
AUGO,89.62,2.71,15.17,7.3,Basic Materials,Gold,30.5,77.3,Bull,2.06,62.16,0.03,75.3,4.56
NMAX,10.62,-1.21,2.51,1.4,Communication Services,Broadcasting,20.88,64.4,Bull,0.18,37.39,0.03,75.3,4.5
PSNL,17.1,-6.94,23.15,2.0,Healthcare,Diagnostics & Research,29.29,66.4,Bull,0.39,42.78,0.04,75.3,4.2
CGAU,23.95,0.84,9.52,4.7,Basic Materials,Gold,26.69,76.7,Bull,0.28,45.76,0.04,75.3,3.75
ALM,18.67,0.84,14.09,5.3,Basic Materials,Other Industrial Metals & Mining,20.42,67.4,Bull,0.67,39.81,0.03,75.3,5.0
SSRM,38.75,2.59,18.2,7.7,Basic Materials,Gold,27.64,75.3,Bull,0.9,47.52,0.02,75.2,4.6
WIX,83.54,1.79,13.31,3.4,Technology,Software - Infrastructure,33.0,72.1,Bull,1.41,48.27,0.02,75.2,3.82
HL,20.59,-0.63,9.4,13.9,Basic Materials,Other Precious Metals & Mining,20.85,69.4,Bull,0.42,35.55,0.03,75.2,3.7
MTA,11.22,0.72,12.76,1.0,Basic Materials,Other Precious Metals & Mining,33.16,81.5,Bull,0.24,46.48,0.03,75.2,4.25
BTG,5.61,1.63,7.88,7.3,Basic Materials,Gold,24.34,75.7,Bull,0.08,44.96,0.03,75.2,4.23
EQX,13.84,2.25,17.58,10.7,Basic Materials,Gold,25.16,76.8,Bull,0.31,45.62,0.02,75.2,4.55
TXG,62.82,-3.53,8.33,8.5,Healthcare,Health Information Services,33.64,68.1,Bull,0.6,36.8,0.03,75.2,3.69
PLSE,50.0,-0.83,6.86,3.6,Healthcare,Medical Instruments & Supplies,39.52,78.3,Bull,0.48,52.49,0.02,75.2,4.75
FSM,12.22,1.23,13.45,3.7,Basic Materials,Gold,24.96,77.1,Bull,0.2,42.75,0.03,75.2,4.0
AMLX,38.83,0.44,81.19,4.9,Healthcare,Drug Manufacturers - Specialty & Generic,72.4,82.3,Bull,1.77,99.23,0.02,75.2,4.83
APPF,224.88,0.21,14.76,7.9,Technology,Software - Application,20.81,71.3,Bull,2.22,33.27,0.02,75.2,4.56
OMER,18.89,-1.97,8.81,1.4,Healthcare,Biotechnology,42.8,81.4,Bull,0.45,66.58,0.02,75.2,3.67
HBM,30.48,1.4,11.08,13.4,Basic Materials,Copper,20.1,70.9,Bull,0.38,35.89,0.01,75.1,4.57
VIA,27.09,0.37,6.57,2.2,Technology,Software - Application,29.24,76.0,Bull,0.2,38.21,0.01,75.1,
NOG,27.07,-1.01,6.01,2.9,Energy,Oil & Gas E&P,20.16,75.2,Bull,0.43,33.52,0.01,75.1,3.56
WPM,159.04,0.8,16.57,71.7,Basic Materials,Gold,26.13,79.5,Bull,3.19,42.18,0.01,75.1,4.69
KGC,33.17,1.27,19.84,39.1,Basic Materials,Gold,24.26,79.0,Bull,0.76,38.88,0.01,75.1,4.33
ATRC,49.37,0.8,10.27,2.5,Healthcare,Medical Instruments & Supplies,29.69,84.3,Bull,0.47,32.11,0.02,75.1,4.3
ODTX,26.39,0.0,26.51,1.3,Healthcare,Biotechnology,33.07,75.2,Bull,0.55,38.68,0.02,75.1,4.8
TEAM,170.65,-0.68,7.77,43.5,Technology,Software - Application,42.98,75.3,Bull,2.22,78.0,0.02,75.1,4.53
U,46.7,-0.49,2.75,20.7,Technology,Software - Application,29.68,78.3,Bull,0.25,53.42,0.01,75.1,4.54
CADL,12.98,-1.14,6.74,1.0,Healthcare,Biotechnology,25.86,67.1,Bull,0.2,30.32,0.02,75.1,4.78
AMPL,13.16,-0.98,4.36,1.7,Technology,Software - Application,30.48,72.1,Bull,0.08,51.79,0.01,75.1,4.25
HALO,107.68,-0.46,4.54,12.3,Healthcare,Biotechnology,23.44,76.9,Bull,0.74,32.15,0.01,75.1,4.33
IAG,21.47,1.56,12.7,12.1,Basic Materials,Gold,25.74,75.4,Bull,0.46,45.96,0.01,75.1,4.23
ESTC,85.04,-1.05,1.92,8.9,Technology,Software - Application,22.69,71.9,Bull,0.6,38.86,0.02,75.1,3.97
XNCR,27.86,0.22,20.5,2.1,Healthcare,Biotechnology,42.24,80.3,Bull,0.47,40.28,0.01,75.1,4.5
APPN,38.41,0.29,10.03,2.7,Technology,Software - Infrastructure,30.86,73.2,Bull,0.3,50.33,0.01,75.1,3.14
HAE,108.13,-0.62,19.79,5.0,Healthcare,Medical Devices,28.09,82.6,Bull,1.94,35.31,0.02,75.1,4.09
FIGR,38.74,-0.92,8.35,8.8,Financial Services,Capital Markets,23.12,69.8,Bull,1.13,34.37,0.01,75.1,4.14
CAI,25.84,-1.64,19.46,7.4,Healthcare,Biotechnology,33.51,74.4,Bull,0.54,65.32,0.01,75.1,4.46
HTFL,49.75,0.0,18.62,4.3,Healthcare,Health Information Services,53.33,88.6,Bull,2.19,96.1,0.0,75.0,4.56
TWST,145.37,-0.15,16.85,9.7,Healthcare,Diagnostics & Research,40.91,69.2,Bull,2.56,67.98,0.0,75.0,4.45
CDE,21.04,0.34,8.96,21.6,Basic Materials,Gold,19.6,67.9,Bull,0.4,36.98,0.03,75.0,4.27
WGS,86.27,-0.91,11.47,2.6,Healthcare,Diagnostics & Research,23.64,69.2,Bull,0.83,42.5,0.0,75.0,4.89
ARX,19.63,0.2,0.46,4.3,Financial Services,Insurance Brokers,31.61,77.0,Bull,0.59,34.36,0.0,75.0,3.33
HCC,108.22,1.4,9.73,5.6,Basic Materials,Coking Coal,19.76,75.4,Bull,1.72,34.29,0.02,75.0,4.14
NIQ,18.8,0.08,8.96,5.5,N/A,N/A,45.78,87.4,Bull,0.39,69.78,0.0,75.0,4.36
FIGS,14.77,0.61,3.14,2.4,Consumer Cyclical,Apparel Manufacturing,19.57,73.2,Bull,0.12,48.74,0.01,74.8,
TGB,9.26,0.76,5.59,3.4,Basic Materials,Copper,19.29,66.3,Bull,0.07,30.24,0.01,74.8,4.71
CRGY,13.85,-1.49,9.14,4.6,Energy,Oil & Gas E&P,19.21,73.3,Bull,0.22,33.47,0.01,74.7,4.47
RGLD,261.87,1.1,10.67,21.9,Basic Materials,Gold,18.67,76.4,Bull,3.86,30.27,0.03,74.6,4.17
RGEN,177.32,-2.1,4.9,10.2,Healthcare,Medical Instruments & Supplies,17.76,70.0,Bull,1.42,35.3,0.02,74.1,4.5
ABNB,189.49,1.17,5.69,112.2,Consumer Cyclical,Travel Services,18.88,73.1,Bull,1.03,29.02,0.05,73.9,3.87
HQ,19.5,-2.16,16.07,1.1,Technology,Software - Infrastructure,16.63,60.5,Bull,0.81,57.0,0.06,73.8,4.5
B,48.15,1.16,13.24,78.3,Basic Materials,Gold,19.14,74.1,Bull,0.79,28.81,0.03,73.6,4.26
VIRT,67.93,11.01,13.18,10.5,Financial Services,Capital Markets,16.6,70.9,Bull,0.94,13.71,1.98,73.5,3.43
PPTA,26.53,3.25,8.79,3.2,Basic Materials,Other Precious Metals & Mining,16.07,66.7,Bull,0.3,45.48,0.05,73.5,4.71
NPK,149.95,-0.5,7.21,1.1,Industrials,Aerospace & Defense,12.27,77.8,Bull,1.47,20.54,1.4,73.4,
AG,21.21,0.57,8.38,10.4,Basic Materials,Silver,15.75,67.6,Bull,0.37,30.87,0.07,73.4,4.33
AGI,38.62,2.02,13.64,15.9,Basic Materials,Gold,15.75,74.4,Bull,0.78,29.96,0.04,73.1,4.62
BLSH,30.21,-0.66,21.03,4.9,Technology,Software - Infrastructure,14.81,66.1,Bull,0.79,32.5,0.09,73.1,3.8
SBET,8.13,2.78,24.88,1.7,Financial Services,Capital Markets,28.73,75.1,Bull,0.18,27.43,0.08,73.1,4.86
MRVI,8.55,-1.04,50.53,2.2,Healthcare,Biotechnology,36.89,77.5,Bull,0.28,27.8,0.02,73.0,4.25
SVM,12.75,1.76,6.96,2.8,Basic Materials,Silver,15.01,65.7,Bull,0.14,30.64,0.05,72.9,4.67
SKE,35.13,0.75,9.27,4.4,Basic Materials,Other Industrial Metals & Mining,16.83,68.4,Bull,0.32,29.2,0.03,72.8,
ASM,7.51,1.49,4.31,1.3,Basic Materials,Other Precious Metals & Mining,14.51,62.0,Bull,0.09,31.99,0.06,72.7,4.5
INFQ,13.74,-2.68,2.48,3.2,Technology,Software - Infrastructure,14.12,61.8,Bull,0.29,40.8,0.06,72.6,5.0
ELVR,67.76,10.07,4.47,1.1,Basic Materials,Other Industrial Metals & Mining,5.46,61.1,Bull,1.34,24.44,1.21,72.2,
SSMR,18.99,1.88,18.69,2.7,Basic Materials,Other Industrial Metals & Mining,22.0,72.0,Bull,0.26,26.77,0.04,72.1,4.33
OGC,31.21,0.64,6.18,7.0,Basic Materials,Gold,14.64,68.4,Bull,0.4,29.55,0.01,72.0,
SENEB,195.39,1.89,3.49,1.3,Consumer Defensive,Packaged Foods,13.87,72.0,Bull,1.41,19.8,1.21,71.8,
