Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
ZYME,29.31,6.68,7.7,2.1,N/A,N/A,16.87,68.5,Bull,0.49,33.14,1.79,88.4,
BZ,18.84,15.65,17.16,8.7,N/A,N/A,22.12,71.2,Bull,0.09,17.02,4.64,86.2,
SPTX,27.84,12.12,14.0,1.5,N/A,N/A,27.22,76.7,Bull,0.22,41.03,1.12,84.4,
VIR,11.08,3.45,13.41,1.9,N/A,N/A,17.47,72.3,Bull,0.22,28.24,1.42,83.8,
AMR,217.92,1.06,12.09,2.8,Basic Materials,Coking Coal,27.88,83.7,Bull,7.08,56.6,0.96,83.0,3.0
NUTX,195.92,4.16,2.78,1.3,Healthcare,Medical Care Facilities,17.67,63.1,Bull,1.43,39.45,1.08,82.8,4.8
RAPP,52.5,2.6,6.99,2.5,N/A,N/A,20.11,72.5,Bull,0.32,28.24,1.0,81.5,
ASA,64.34,-0.4,3.36,1.2,N/A,N/A,12.33,70.3,Bull,0.76,30.77,1.06,80.0,
NIQ,18.74,-2.6,2.35,5.5,N/A,N/A,39.98,81.1,Bull,0.26,56.56,0.57,79.7,4.36
WGS,90.29,3.3,13.35,2.7,N/A,N/A,26.81,71.7,Bull,0.94,41.77,0.54,79.5,
SII,136.87,-0.58,13.27,3.5,N/A,N/A,15.29,69.5,Bull,2.45,32.08,0.68,78.3,
ALVO,4.98,1.41,16.61,1.9,N/A,N/A,27.19,69.6,Bull,0.11,39.47,0.35,78.0,
ASST,22.01,2.37,36.45,1.9,Financial Services,Asset Management,52.79,83.7,Bull,1.05,84.34,0.19,76.6,4.8
CRM,232.89,13.26,13.37,168.4,Technology,Software - Application,24.08,75.2,Bull,1.84,28.87,0.3,76.4,4.3
BMNR,25.14,0.9,16.53,15.0,Financial Services,Capital Markets,33.07,78.8,Bull,0.66,39.02,0.15,76.3,
PURR,12.07,4.46,19.79,2.3,Financial Services,Capital Markets,49.76,81.0,Bull,0.57,91.67,0.12,76.0,
