Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
DRD,29.51,6.04,24.1,2.6,Basic Materials,Gold,25.66,79.5,Bull,0.69,44.3,1.42,86.8,5.0
KGC,31.43,5.26,17.21,37.5,Basic Materials,Gold,20.09,75.4,Bull,0.56,32.96,1.31,85.9,4.33
IAG,20.5,3.96,15.49,11.7,Basic Materials,Gold,22.6,72.2,Bull,0.41,39.17,1.15,84.6,4.17
CAI,24.58,8.0,10.82,6.9,Healthcare,Biotechnology,30.8,73.5,Bull,0.41,57.06,1.15,84.6,4.46
TBBB,49.77,0.5,1.16,5.9,N/A,N/A,17.83,72.6,Bull,0.86,24.89,1.78,83.7,
ODTX,24.67,1.73,19.06,1.2,Healthcare,Biotechnology,27.92,71.1,Bull,0.35,39.62,0.86,82.2,4.8
PCOR,63.28,0.57,1.79,9.6,N/A,N/A,22.32,72.8,Bull,0.41,54.04,0.83,81.9,
OMER,18.63,1.31,7.38,1.3,Healthcare,Biotechnology,46.22,84.6,Bull,0.52,81.23,0.67,80.5,3.67
PAYC,226.72,2.05,1.38,10.2,Technology,Software - Application,32.86,76.8,Bull,1.57,63.46,0.64,80.3,3.55
VIA,26.57,0.72,0.8,2.2,N/A,N/A,29.9,74.6,Bull,0.26,55.56,0.52,79.4,
AVAH,12.78,-1.46,3.73,2.8,Healthcare,Medical Care Facilities,31.07,74.6,Bull,0.32,35.24,0.43,78.6,4.27
ASST,17.62,9.24,43.08,1.4,N/A,N/A,33.49,75.0,Bull,0.57,53.35,0.28,77.4,
MRNA,144.29,8.23,127.87,53.2,N/A,N/A,106.49,71.5,Bull,10.28,166.86,0.28,77.3,
CRCL,88.31,5.56,23.34,21.2,N/A,N/A,19.47,69.7,Bull,2.53,41.61,0.29,77.1,
HMY,23.48,6.63,20.78,14.0,Basic Materials,Gold,33.13,77.8,Bull,0.42,47.95,0.25,77.1,
SBSW,12.78,8.12,18.66,8.4,Basic Materials,Other Precious Metals & Mining,26.37,77.6,Bull,0.25,52.87,0.23,76.9,4.0
BMNR,22.16,2.74,22.57,13.0,Financial Services,Capital Markets,24.18,71.6,Bull,0.36,40.34,0.18,76.5,
PURR,10.52,4.41,57.56,2.0,Financial Services,Capital Markets,41.23,79.0,Bull,0.48,70.03,0.18,76.5,
SBET,7.86,3.58,25.59,1.6,Financial Services,Capital Markets,26.01,73.0,Bull,0.14,35.32,0.14,76.2,4.86
XXI,6.36,2.75,33.05,3.5,Consumer Defensive,Education & Training Services,19.6,72.1,Bull,0.24,40.71,0.13,75.9,
NEM,131.54,3.06,11.7,134.5,Basic Materials,Gold,23.53,75.9,Bull,2.19,41.15,0.11,75.9,4.43
IAUX,1.83,3.98,9.58,1.5,Basic Materials,Gold,20.36,67.4,Bull,0.03,34.56,0.11,75.9,
ERO,37.67,4.58,11.45,3.8,Basic Materials,Copper,25.37,69.7,Bull,0.34,45.0,0.11,75.9,4.06
GFI,47.99,5.59,19.26,40.7,Basic Materials,Gold,26.2,78.3,Bull,0.96,46.76,0.09,75.8,4.25
NG,8.96,3.46,12.85,3.8,Basic Materials,Gold,25.04,73.4,Bull,0.19,51.1,0.08,75.7,4.43
ELE,22.04,0.55,4.65,1.4,Basic Materials,Other Precious Metals & Mining,22.54,73.8,Bull,0.35,40.38,0.07,75.6,4.67
AG,21.92,3.45,13.81,10.4,Basic Materials,Silver,20.22,70.5,Bull,0.44,34.5,0.07,75.6,4.33
TEM,66.5,-0.23,27.64,12.0,Healthcare,Health Information Services,26.99,70.4,Bull,1.98,55.77,0.08,75.6,3.81
AU,119.07,3.41,23.64,58.2,Basic Materials,Gold,30.89,80.1,Bull,2.83,49.45,0.07,75.6,4.38
AEM,218.09,2.85,16.96,107.6,Basic Materials,Gold,27.75,82.2,Bull,5.02,50.27,0.06,75.5,4.27
IOVA,9.1,1.22,30.37,4.1,Healthcare,Biotechnology,66.76,83.4,Bull,0.31,82.36,0.06,75.5,4.33
ASM,7.84,3.22,11.75,1.3,Basic Materials,Other Precious Metals & Mining,20.03,66.6,Bull,0.13,39.34,0.06,75.5,4.5
EXK,11.07,0.91,3.85,3.2,Basic Materials,Silver,21.03,66.8,Bull,0.16,41.56,0.05,75.4,4.75
CGAU,24.15,2.79,12.52,4.7,Basic Materials,Gold,29.05,77.2,Bull,0.31,49.49,0.04,75.4,3.75
AMR,202.26,4.1,21.81,2.5,Basic Materials,Coking Coal,22.9,79.8,Bull,6.43,41.5,0.05,75.4,3.0
ARIS,20.94,3.71,17.05,4.2,Basic Materials,Gold,26.61,75.3,Bull,0.48,42.84,0.05,75.4,4.5
FIGR,38.76,7.48,23.32,8.1,Financial Services,Capital Markets,24.39,70.7,Bull,1.13,40.48,0.04,75.4,4.14
ZLAB,26.16,0.54,1.0,2.9,Healthcare,Biotechnology,22.06,72.1,Bull,0.35,36.11,0.05,75.4,4.67
SSRM,38.19,3.69,18.64,7.5,Basic Materials,Gold,27.18,74.3,Bull,0.86,42.32,0.05,75.4,4.6
HCC,107.43,3.93,9.39,5.5,Basic Materials,Coking Coal,19.83,74.7,Bull,1.78,34.28,0.04,75.3,4.14
SKE,35.82,2.84,8.35,4.4,Basic Materials,Other Industrial Metals & Mining,19.81,69.9,Bull,0.4,32.13,0.05,75.3,
BTG,5.54,2.97,7.78,7.1,Basic Materials,Gold,24.06,74.7,Bull,0.09,43.15,0.04,75.3,4.23
TWST,136.29,-0.03,14.94,9.0,Healthcare,Diagnostics & Research,34.84,65.9,Bull,1.92,50.98,0.03,75.3,4.45
EQX,13.31,3.3,14.93,10.2,Basic Materials,Gold,21.77,74.3,Bull,0.28,43.66,0.03,75.3,4.55
WPM,155.5,3.49,16.02,68.2,Basic Materials,Gold,24.75,78.1,Bull,2.86,39.67,0.04,75.3,4.69
MTA,11.37,1.53,16.63,1.0,Basic Materials,Other Precious Metals & Mining,36.69,83.2,Bull,0.27,51.01,0.04,75.3,4.25
NEWP,7.03,2.55,2.7,1.3,Basic Materials,Silver,31.66,76.3,Bull,0.06,56.11,0.04,75.3,
HAE,108.64,0.38,19.64,4.9,Healthcare,Medical Devices,30.19,84.6,Bull,2.09,37.9,0.03,75.3,4.09
PSNL,16.7,-1.07,18.95,1.8,Healthcare,Diagnostics & Research,28.41,70.5,Bull,0.29,41.77,0.03,75.2,4.2
TXG,64.4,0.83,14.82,8.3,Healthcare,Health Information Services,39.0,73.3,Bull,0.7,39.18,0.02,75.2,3.69
NMAX,10.88,0.09,0.09,1.4,Communication Services,Broadcasting,24.84,67.9,Bull,0.24,45.07,0.02,75.2,4.5
CDE,21.79,3.22,15.84,21.7,Basic Materials,Gold,24.65,70.7,Bull,0.49,44.02,0.03,75.2,4.27
APPN,37.05,-0.62,4.63,2.7,Technology,Software - Infrastructure,28.08,69.9,Bull,0.28,56.0,0.03,75.2,3.14
ATRC,47.81,0.68,7.93,2.4,Healthcare,Medical Instruments & Supplies,27.29,82.1,Bull,0.39,36.46,0.02,75.2,4.3
HZO,52.24,-0.02,0.42,1.2,Consumer Cyclical,Specialty Retail,29.81,81.9,Bull,0.79,43.79,0.03,75.2,3.44
FSM,12.27,3.11,15.0,3.6,Basic Materials,Gold,26.69,77.3,Bull,0.22,43.51,0.02,75.2,4.0
XNCR,27.21,0.78,16.58,2.0,Healthcare,Biotechnology,41.54,79.0,Bull,0.45,39.97,0.03,75.2,4.5
AUGO,90.1,3.93,19.62,7.3,Basic Materials,Gold,32.65,77.5,Bull,2.26,65.91,0.03,75.2,4.56
PLSE,47.47,-0.79,6.58,3.4,Healthcare,Medical Instruments & Supplies,35.04,75.3,Bull,0.34,57.03,0.02,75.2,4.75
ETON,59.81,-0.17,1.61,1.7,Healthcare,Drug Manufacturers - Specialty & Generic,36.71,70.2,Bull,1.34,40.43,0.02,75.1,5.0
RUM,8.56,1.6,14.81,4.2,Communication Services,Internet Content & Information,24.35,73.4,Bull,0.23,50.0,0.02,75.1,3.5
HL,21.2,1.83,15.41,14.0,Basic Materials,Other Precious Metals & Mining,25.34,72.5,Bull,0.49,40.03,0.01,75.1,3.78
RGEN,179.54,-0.41,7.62,10.2,Healthcare,Medical Instruments & Supplies,20.16,74.6,Bull,1.68,36.06,0.01,75.1,4.5
ALMR,35.45,2.34,6.91,2.4,Healthcare,Medical Devices,27.54,66.9,Bull,0.47,36.98,0.01,75.1,4.4
TEAM,174.09,-0.47,7.32,44.3,Technology,Software - Application,48.38,78.9,Bull,3.27,100.38,0.01,75.1,4.53
ABCL,11.62,0.41,2.09,3.4,Healthcare,Biotechnology,52.81,77.3,Bull,0.37,118.79,0.02,75.1,4.89
AMLX,39.58,-0.2,82.99,4.4,Healthcare,Drug Manufacturers - Specialty & Generic,80.83,85.6,Bull,1.89,114.99,0.01,75.1,4.83
AZTA,36.53,0.07,9.45,1.6,Healthcare,Medical Instruments & Supplies,26.24,76.9,Bull,0.28,33.49,0.02,75.1,3.83
NIQ,18.32,0.94,4.99,5.4,N/A,N/A,45.04,86.4,Bull,0.42,70.42,0.01,75.1,4.36
WGS,83.19,0.78,6.54,2.5,Healthcare,Diagnostics & Research,20.58,67.3,Bull,0.54,40.76,0.01,75.1,4.89
HTFL,47.35,1.18,12.52,4.1,Healthcare,Health Information Services,49.64,87.2,Bull,2.14,96.31,0.02,75.1,4.5
U,46.51,-0.08,0.55,20.5,Technology,Software - Application,30.82,78.9,Bull,0.39,62.49,0.01,75.1,4.54
HALO,106.65,0.5,8.1,12.0,Healthcare,Biotechnology,23.53,77.2,Bull,0.85,30.17,0.01,75.1,4.33
WK,74.88,-0.68,6.2,4.1,Technology,Software - Application,23.91,71.9,Bull,0.69,42.85,0.02,75.1,
WIX,82.48,0.11,11.26,3.4,Technology,Software - Infrastructure,33.12,71.6,Bull,1.52,60.44,0.01,75.1,3.82
TOP,13.28,0.0,19.32,1.7,Financial Services,Capital Markets,94.53,71.3,Bull,0.09,506.39,0.01,75.1,
BULLW,3.05,-3.48,4.1,1.7,,,23.53,63.9,Bull,0.05,32.61,0.01,75.1,
BETA,25.34,-0.55,1.93,6.0,Industrials,Aerospace & Defense,22.84,64.0,Bull,0.16,39.15,0.01,75.1,4.75
VEEV,250.55,0.01,2.79,40.9,Healthcare,Health Information Services,20.95,72.4,Bull,1.23,34.53,0.04,74.8,4.07
BRZE,30.59,-0.37,5.76,3.8,Technology,Software - Application,19.11,64.8,Bull,0.28,40.6,0.02,74.7,4.71
SDGR,19.52,-0.31,10.97,1.5,Healthcare,Health Information Services,18.83,68.9,Bull,0.21,30.39,0.04,74.7,4.43
PRGO,13.77,0.49,5.58,1.9,Healthcare,Drug Manufacturers - Specialty & Generic,18.86,68.8,Bull,0.14,36.45,0.01,74.6,3.6
ABNB,186.82,0.99,1.5,110.8,Consumer Cyclical,Travel Services,18.15,71.5,Bull,1.18,32.41,0.06,74.5,3.87
ANRO,34.61,1.05,7.69,1.3,Healthcare,Biotechnology,23.76,73.4,Bull,0.5,29.24,0.02,74.4,4.82
OCUL,11.26,1.53,12.15,2.4,Healthcare,Biotechnology,18.04,67.6,Bull,0.26,32.39,0.04,74.3,4.64
MSTR,119.38,6.22,28.31,43.2,Technology,Software - Application,12.65,66.1,Bull,2.73,30.23,0.35,74.3,4.73
BHC,6.78,-0.44,4.15,2.5,Healthcare,Drug Manufacturers - Specialty & Generic,18.61,65.7,Bull,0.04,53.05,0.0,74.3,
ALM,18.08,2.18,19.78,5.1,Basic Materials,Other Industrial Metals & Mining,17.78,65.6,Bull,0.62,35.49,0.05,74.3,5.0
