Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
CRCT,6.07,22.87,26.72,1.3,N/A,N/A,34.99,81.7,Bull,0.11,41.82,5.12,100.0,
BLMN,11.85,32.85,34.51,1.0,N/A,N/A,42.28,80.4,Bull,0.23,52.51,5.16,100.0,
FTK,36.07,27.86,65.46,1.3,Energy,Oil & Gas Equipment & Services,50.47,76.2,Bull,0.67,56.21,3.56,100.0,5.0
FRPT,71.47,14.57,15.39,3.5,N/A,N/A,23.61,75.7,Bull,0.92,31.74,4.76,100.0,
BVS,15.26,13.71,16.31,1.3,N/A,N/A,35.01,79.4,Bull,0.17,26.01,3.28,96.0,
APPS,13.17,38.49,62.19,1.6,N/A,N/A,50.08,71.8,Bull,0.28,25.43,5.7,95.4,
PBT,34.53,6.54,18.67,1.6,N/A,N/A,24.84,78.0,Bull,0.52,27.56,2.63,94.5,
INTA,36.96,12.75,16.7,2.8,N/A,N/A,34.93,77.8,Bull,0.58,36.03,2.33,94.4,
ROCK,54.86,14.15,27.29,1.6,N/A,N/A,27.13,74.8,Bull,0.68,32.96,2.15,92.9,
TWST,115.01,15.65,34.56,7.2,Healthcare,Diagnostics & Research,33.88,70.9,Bull,1.38,28.68,2.28,92.7,4.45
SHOP,144.24,16.98,11.67,186.9,N/A,N/A,20.75,67.8,Bull,0.92,20.99,3.93,91.0,
AYA,25.07,9.48,30.44,3.6,N/A,N/A,28.15,69.0,Bull,0.44,31.12,1.81,90.1,
PLPC,471.29,11.26,66.23,2.3,N/A,N/A,33.52,72.5,Bull,15.49,40.97,1.47,87.3,
TX,53.71,6.69,11.76,10.5,Basic Materials,Steel,16.05,78.1,Bull,0.71,25.23,2.26,87.1,4.0
NEWP,5.93,13.17,35.7,1.1,Basic Materials,Silver,31.06,74.1,Bull,0.15,56.46,1.39,86.5,4.5
CSW,346.03,-0.94,27.05,5.6,Industrials,Specialty Industrial Machinery,19.42,69.0,Bull,6.74,27.63,1.41,84.1,3.57
WPP,25.89,25.62,26.54,4.4,Communication Services,Advertising Agencies,37.12,78.5,Bull,0.43,49.31,0.92,82.6,
ARXS,59.6,2.67,40.33,24.9,Industrials,Aerospace & Defense,34.63,76.6,Bull,1.79,38.25,0.89,82.4,4.73
