Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
AMLX,35.11,63.84,48.58,3.9,Healthcare,Drug Manufacturers - Specialty & Generic,78.49,82.7,Bull,0.69,89.78,7.74,100.0,4.83
MRNA,116.76,85.45,83.38,25.1,Healthcare,Biotechnology,88.74,86.4,Bull,4.24,101.07,4.25,100.0,3.09
HAE,104.65,15.93,19.98,4.8,Healthcare,Medical Devices,30.4,82.9,Bull,1.12,34.05,2.72,97.7,4.09
HTFL,45.23,7.84,53.11,3.9,Healthcare,Health Information Services,52.03,85.7,Bull,2.11,77.79,2.38,94.8,4.5
BVC,15.08,3.29,7.1,2.5,Technology,Software - Application,30.99,66.4,Bull,0.38,41.33,1.95,91.2,
WIX,77.16,4.67,15.66,4.2,Technology,Software - Infrastructure,29.55,67.7,Bull,1.54,50.94,1.56,88.0,3.82
ARHS,10.03,5.25,1.93,1.4,N/A,N/A,22.18,68.8,Bull,0.13,33.02,1.22,85.2,
TNDM,23.73,6.63,1.24,1.7,Healthcare,Medical Devices,25.4,71.0,Bull,0.24,34.83,1.17,84.8,3.96
ODTX,21.95,5.23,7.86,1.1,Healthcare,Biotechnology,16.91,63.5,Bull,0.11,28.66,1.31,83.0,4.8
BHC,6.93,5.32,11.06,2.6,N/A,N/A,24.13,69.3,Bull,0.06,48.08,0.86,82.2,
AIIR,7.9,2.6,7.59,1.3,Consumer Defensive,Tobacco,12.37,66.6,Bull,0.22,36.56,1.3,82.0,
MH,13.12,2.74,14.09,2.5,Consumer Defensive,Education & Training Services,16.51,67.4,Bull,0.21,40.77,1.05,82.0,4.62
XNCR,25.41,9.9,14.98,1.9,Healthcare,Biotechnology,39.59,78.5,Bull,0.24,24.25,1.5,81.8,4.5
KURA,12.33,9.31,24.17,1.1,Healthcare,Biotechnology,21.4,73.1,Bull,0.29,13.22,2.63,80.1,4.73
BNTX,109.75,18.33,18.34,23.3,Healthcare,Biotechnology,17.86,79.1,Bull,1.11,19.97,1.6,77.3,4.45
REPL,15.58,6.49,14.14,1.5,Healthcare,Biotechnology,45.04,68.4,Bull,0.45,41.64,0.28,77.3,4.25
CLMT,50.81,5.09,10.36,4.5,Basic Materials,Specialty Chemicals,25.62,72.5,Bull,0.59,23.69,1.0,77.0,3.67
TWST,133.76,15.21,6.82,7.7,Healthcare,Diagnostics & Research,37.74,67.6,Bull,1.4,42.52,0.23,76.9,4.45
AUGO,80.99,6.22,5.42,6.4,Basic Materials,Gold,21.72,70.6,Bull,1.82,62.75,0.18,76.5,4.56
IOVA,7.39,5.12,9.64,3.2,Healthcare,Biotechnology,43.93,75.2,Bull,0.17,42.94,0.16,76.4,4.33
HMY,20.66,7.13,4.0,12.2,Basic Materials,Gold,20.2,69.7,Bull,0.23,44.14,0.12,76.0,
FSM,11.37,8.8,4.89,3.2,Basic Materials,Gold,20.01,72.5,Bull,0.15,41.59,0.11,75.9,4.0
EGO,41.6,7.47,4.81,10.1,Basic Materials,Gold,21.44,68.7,Bull,0.53,50.02,0.09,75.8,3.4
CGAU,22.87,7.47,5.2,4.2,Basic Materials,Gold,24.7,73.2,Bull,0.26,50.56,0.09,75.7,3.75
PLTR,174.68,1.83,2.13,412.0,Technology,Software - Infrastructure,20.08,67.4,Bull,1.8,40.22,0.07,75.6,4.19
AEM,199.93,6.95,7.97,94.9,Basic Materials,Gold,20.01,76.8,Bull,3.72,35.96,0.07,75.6,4.27
BTG,5.28,6.12,1.44,6.6,Basic Materials,Gold,20.69,71.1,Bull,0.09,33.8,0.08,75.6,4.23
ELE,21.92,5.89,7.03,1.3,Basic Materials,Other Precious Metals & Mining,24.0,75.0,Bull,0.43,51.8,0.06,75.5,4.67
ZLAB,26.8,4.81,5.14,2.9,Healthcare,Biotechnology,27.32,78.1,Bull,0.55,30.74,0.06,75.5,4.67
ABCL,11.83,6.38,14.24,3.3,Healthcare,Biotechnology,62.85,82.6,Bull,0.51,106.46,0.06,75.5,4.89
UMAC,29.35,-4.02,8.58,1.5,Technology,Computer Hardware,26.83,59.4,Bull,0.62,49.21,0.06,75.5,4.62
RUM,8.26,1.98,9.4,4.0,Communication Services,Internet Content & Information,22.14,70.5,Bull,0.25,33.87,0.05,75.4,3.5
BETA,26.8,0.15,12.7,6.3,Industrials,Aerospace & Defense,32.3,72.4,Bull,0.44,46.21,0.03,75.3,4.75
NMAX,11.54,0.96,30.25,1.5,Communication Services,Broadcasting,34.81,75.9,Bull,0.35,44.07,0.04,75.3,4.5
OMER,17.23,0.23,25.67,1.2,Healthcare,Biotechnology,38.15,80.7,Bull,0.46,80.8,0.04,75.3,3.67
HZO,52.22,0.08,0.17,1.2,Consumer Cyclical,Specialty Retail,32.96,82.1,Bull,1.28,51.27,0.04,75.3,3.44
ZETA,28.9,2.37,1.23,7.1,Technology,Software - Infrastructure,23.92,67.1,Bull,0.28,43.21,0.03,75.3,4.47
VIA,25.61,2.38,2.26,2.0,Technology,Software - Application,26.95,71.8,Bull,0.24,46.37,0.04,75.3,4.6
RBRK,100.71,0.16,4.12,20.7,Technology,Software - Infrastructure,22.64,69.8,Bull,1.66,36.67,0.03,75.3,4.89
PLSE,47.1,2.39,8.73,3.3,Healthcare,Medical Instruments & Supplies,37.93,76.1,Bull,0.53,43.77,0.04,75.3,4.75
NEWP,6.87,4.89,3.93,1.2,Basic Materials,Silver,32.52,75.7,Bull,0.1,68.38,0.04,75.3,
P,117.18,0.1,5.19,38.9,Technology,Computer Hardware,35.53,82.0,Bull,3.09,57.12,0.02,75.2,4.35
WDAY,193.65,1.58,10.47,47.1,Technology,Software - Application,23.47,64.8,Bull,1.36,46.24,0.02,75.2,3.83
LIFE,34.03,0.07,1.32,2.2,Financial Services,Insurance Brokers,41.55,77.3,Bull,0.54,76.99,0.02,75.2,4.67
ETON,63.74,0.48,53.29,1.8,Healthcare,Drug Manufacturers - Specialty & Generic,52.07,78.8,Bull,1.84,50.61,0.03,75.2,5.0
VRDN,24.44,2.15,6.84,2.7,Healthcare,Biotechnology,21.31,72.2,Bull,0.19,35.58,0.02,75.2,4.82
HALO,106.61,1.64,4.74,11.9,Healthcare,Biotechnology,25.97,80.3,Bull,1.2,37.0,0.02,75.2,4.33
AMPL,12.69,0.83,2.54,1.6,Technology,Software - Application,30.95,70.8,Bull,0.17,45.25,0.02,75.2,4.25
AVAH,12.77,0.79,41.11,2.8,Healthcare,Medical Care Facilities,34.75,79.2,Bull,0.35,35.42,0.02,75.1,4.27
AVLN,39.44,1.49,5.51,1.7,Healthcare,Biotechnology,24.93,72.5,Bull,0.78,37.76,0.01,75.1,4.75
GTLB,41.52,0.05,1.74,7.0,Technology,Software - Infrastructure,21.14,65.0,Bull,0.26,32.44,0.01,75.1,3.48
CHYM,31.91,0.0,0.98,12.1,Technology,Software - Application,30.63,74.3,Bull,0.3,42.9,0.02,75.1,4.45
ESTC,84.52,-0.58,9.54,8.8,Technology,Software - Application,25.84,75.4,Bull,1.29,44.04,0.01,75.1,3.97
QNST,20.8,0.19,0.05,1.2,Communication Services,Advertising Agencies,24.88,68.7,Bull,0.23,33.08,0.01,75.1,4.83
PATH,15.8,1.41,3.54,8.1,Technology,Software - Infrastructure,22.06,66.2,Bull,0.12,47.66,0.01,75.1,3.2
TEAM,162.8,-0.12,4.87,41.3,Technology,Software - Application,45.1,76.3,Bull,3.58,90.63,0.02,75.1,4.53
WHD,74.0,1.19,2.21,5.9,Energy,Oil & Gas Equipment & Services,20.88,76.8,Bull,0.71,35.78,0.01,75.1,4.0
U,46.63,-0.22,4.73,20.6,Technology,Software - Application,34.68,81.4,Bull,0.74,59.33,0.01,75.1,4.48
APPN,36.5,0.19,4.82,2.6,Technology,Software - Infrastructure,29.86,69.9,Bull,0.41,40.22,0.01,75.1,3.14
PAYC,218.5,1.29,3.42,9.7,Technology,Software - Application,29.86,74.2,Bull,1.59,56.86,0.01,75.1,3.55
ATRC,46.37,1.32,6.44,2.3,Healthcare,Medical Instruments & Supplies,26.41,80.5,Bull,0.34,38.32,0.01,75.1,4.3
ARIS,19.27,9.58,8.59,3.6,Basic Materials,Gold,18.99,69.6,Bull,0.36,31.12,0.06,75.0,4.5
HP,44.49,0.68,4.12,4.4,Energy,Oil & Gas Drilling,19.58,76.9,Bull,0.9,31.05,0.02,75.0,3.5
NIQ,17.34,0.12,3.15,5.1,N/A,N/A,42.96,86.3,Bull,0.48,63.12,0.0,75.0,4.36
ARX,19.57,0.05,43.79,4.2,Financial Services,Insurance Brokers,36.61,76.9,Bull,0.86,45.39,0.0,75.0,3.33
NEM,124.04,6.95,5.26,122.2,Basic Materials,Gold,18.67,71.3,Bull,1.85,29.55,0.12,74.8,4.43
LBRX,48.77,5.49,7.59,1.6,Healthcare,Biotechnology,29.59,70.4,Bull,0.17,50.94,1.22,74.8,4.88
DRD,27.36,12.59,13.25,2.1,Basic Materials,Gold,17.39,74.3,Bull,0.49,39.24,0.13,74.8,
ALMR,33.65,2.09,1.6,2.3,Healthcare,Medical Devices,24.4,64.6,Bull,0.42,29.67,0.01,74.7,4.4
ZS,186.9,0.65,5.41,30.0,Technology,Software - Infrastructure,19.04,72.5,Bull,1.94,31.38,0.02,74.7,4.43
ECO,64.16,3.43,11.33,2.4,Industrials,Marine Shipping,20.54,67.6,Bull,0.63,29.07,0.07,74.6,5.0
ABNB,184.96,0.93,2.7,109.7,Consumer Cyclical,Travel Services,18.74,71.6,Bull,1.84,32.07,0.02,74.6,3.87
IAG,19.65,8.0,8.72,10.4,Basic Materials,Gold,18.63,69.1,Bull,0.36,29.67,0.06,74.5,4.17
AXTI,82.64,0.4,5.31,5.4,Technology,Semiconductor Equipment & Materials,15.33,56.7,Bull,2.62,55.98,0.21,74.4,
AU,103.84,6.01,6.05,49.5,Basic Materials,Gold,17.2,71.4,Bull,1.57,32.28,0.1,74.4,4.38
VEEV,244.45,0.7,1.22,39.6,Healthcare,Health Information Services,20.27,70.1,Bull,1.45,29.17,0.01,74.3,4.07
SLNHP,12.5,0.81,7.3,3.1,Financial Services,Capital Markets,15.64,73.8,Bull,0.17,32.98,0.15,74.0,
MGNI,24.5,-0.12,0.66,3.5,Communication Services,Advertising Agencies,21.74,69.9,Bull,0.13,28.95,0.01,74.0,4.53
SAP,212.36,0.9,4.02,258.6,Technology,Software - Application,16.96,72.5,Bull,1.14,37.59,0.03,73.7,
TXG,60.04,7.93,3.97,7.2,Healthcare,Health Information Services,34.12,68.9,Bull,0.32,27.61,0.1,73.4,3.69
TNK,90.26,1.31,11.59,3.1,Energy,Oil & Gas Midstream,17.86,74.5,Bull,1.35,29.24,0.02,73.3,3.8
SSRM,34.01,7.31,4.67,6.5,Basic Materials,Gold,15.73,66.0,Bull,0.54,35.89,0.05,73.3,4.6
WPM,140.91,6.18,4.47,60.3,Basic Materials,Gold,15.1,70.8,Bull,1.77,36.21,0.06,73.1,4.69
GFI,43.38,6.01,6.51,36.6,Basic Materials,Gold,16.44,70.9,Bull,0.66,29.11,0.07,72.9,4.25
RGEN,178.46,7.41,7.7,9.4,Healthcare,Medical Instruments & Supplies,21.42,74.8,Bull,1.56,27.39,0.06,72.9,4.5
EQX,12.23,6.81,6.07,9.0,Basic Materials,Gold,13.83,67.9,Bull,0.2,30.8,0.11,72.8,4.55
FRPT,72.93,0.41,0.85,3.5,Consumer Defensive,Packaged Foods,17.42,71.1,Bull,0.52,28.75,0.01,72.5,4.35
ANRO,35.07,2.75,20.19,1.3,Healthcare,Biotechnology,28.49,76.6,Bull,0.59,27.34,0.02,72.5,4.82
LDOS,143.6,0.08,2.29,18.0,Technology,Information Technology Services,14.32,75.0,Bull,1.35,34.18,0.01,72.2,3.65
OCUL,11.34,3.0,10.85,2.4,Healthcare,Biotechnology,20.75,74.4,Bull,0.28,26.99,0.01,72.1,4.64
SBSW,11.31,7.15,5.65,7.5,Basic Materials,Other Precious Metals & Mining,14.14,68.7,Bull,0.16,29.02,0.09,71.8,4.0
BULLW,2.88,-1.71,8.68,1.5,,,21.87,65.8,Bull,0.04,16.27,1.21,71.3,
NG,7.99,7.83,1.52,3.3,Basic Materials,Gold,13.95,65.6,Bull,0.13,28.66,0.07,71.2,4.43
TEM,58.14,17.78,6.46,8.9,Healthcare,Health Information Services,13.82,62.2,Bull,0.88,23.8,0.65,71.1,3.81
TDW,95.74,1.71,4.51,4.7,Energy,Oil & Gas Equipment & Services,19.43,72.4,Bull,1.3,26.27,0.02,71.1,3.25
PSNL,15.31,10.03,7.71,1.5,Healthcare,Diagnostics & Research,20.75,65.0,Bull,0.09,22.73,0.39,71.0,4.2
DOO,68.58,7.49,5.12,5.1,Consumer Cyclical,Recreational Vehicles,10.52,67.6,Bull,0.25,14.97,3.48,71.0,3.65
CDE,20.01,8.1,6.44,19.0,Basic Materials,Gold,16.94,65.1,Bull,0.35,26.33,0.12,70.8,4.27
CNL,14.58,-0.34,0.48,1.4,Basic Materials,Gold,4.46,59.9,Bull,0.21,24.19,1.1,70.6,4.67
HSLV,5.46,7.06,3.21,1.0,Basic Materials,Silver,10.59,63.5,Bull,0.07,32.85,0.04,70.6,
SVM,12.22,5.85,0.95,2.6,Basic Materials,Silver,12.24,62.7,Bull,0.16,28.17,0.15,70.5,4.67
IMNM,28.09,1.92,0.36,3.1,Healthcare,Biotechnology,18.71,70.6,Bull,0.23,25.85,0.04,70.5,4.79
AXGN,50.42,0.47,1.52,2.7,Healthcare,Medical Devices,14.7,70.2,Bull,0.53,28.08,0.01,70.5,4.78
TARS,71.03,0.59,2.26,3.1,Healthcare,Biotechnology,11.4,67.0,Bull,1.01,23.12,0.79,70.4,5.0
INTU,350.41,4.41,4.15,95.9,Technology,Software - Application,10.64,63.5,Bull,1.97,20.86,1.07,70.1,4.14
PRGO,13.24,2.08,4.33,1.8,Healthcare,Drug Manufacturers - Specialty & Generic,16.37,67.5,Bull,0.12,26.46,0.01,69.7,3.6
NPK,147.26,2.14,6.53,1.1,Industrials,Aerospace & Defense,11.98,77.3,Bull,1.44,20.54,0.96,69.5,
SA,33.32,7.37,2.48,3.3,Basic Materials,Gold,15.15,64.6,Bull,0.43,26.44,0.04,69.4,
