Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
SRPT,21.59,10.95,12.33,2.3,Healthcare,Biotechnology,21.0,71.1,Bull,0.3,38.75,2.63,97.0,3.33
PURR,12.83,10.99,27.28,2.6,N/A,N/A,58.44,83.1,Bull,0.62,103.65,2.41,95.1,
PSNYW,6.23,15.8,129.04,1.0,N/A,N/A,107.31,82.1,Bull,0.34,151.21,2.12,92.6,
MSTR,137.4,11.54,22.25,52.8,Technology,Software - Application,25.74,72.9,Bull,4.33,40.58,1.79,89.9,4.73
SLS,15.21,10.78,13.51,3.1,Healthcare,Biotechnology,28.61,63.8,Bull,0.22,47.81,1.78,89.8,4.5
FROG,104.03,12.1,15.95,12.8,N/A,N/A,21.36,68.2,Bull,0.86,32.66,1.76,89.7,
NCNO,23.32,8.41,14.54,2.5,N/A,N/A,24.42,77.4,Bull,0.18,26.88,2.1,89.4,
TH,18.96,12.99,7.54,1.9,N/A,N/A,11.87,62.6,Bull,0.2,30.76,2.0,87.6,
SNPS,464.89,13.39,16.83,89.1,N/A,N/A,10.89,71.7,Bull,5.09,24.86,2.46,85.8,
AIIR,7.98,17.18,10.07,1.3,N/A,N/A,12.19,60.6,Bull,0.03,36.41,2.43,85.5,
BRZE,34.09,10.65,11.01,4.2,N/A,N/A,28.03,72.5,Bull,0.32,36.03,1.23,85.3,
BULLW,3.48,8.41,10.13,1.8,,,34.28,69.1,Bull,0.05,50.65,1.03,83.6,
GENVR,4.9,24.37,63.33,2.9,,,95.34,70.9,Bull,0.07,160.64,1.03,83.6,
AMR,227.38,4.34,17.03,2.9,Basic Materials,Coking Coal,31.69,85.8,Bull,7.09,58.11,0.99,83.3,3.0
APPN,41.4,7.67,11.05,3.0,Technology,Software - Infrastructure,35.42,74.9,Bull,0.26,56.34,0.97,83.1,3.14
ODTX,25.98,1.41,5.31,1.2,Healthcare,Biotechnology,26.86,68.0,Bull,0.37,41.04,0.93,82.8,
IMMX,14.31,1.71,8.74,1.0,Healthcare,Biotechnology,32.4,73.6,Bull,0.33,67.37,0.93,82.8,4.57
SDGR,20.41,4.83,4.24,1.5,Healthcare,Health Information Services,20.63,66.7,Bull,0.15,32.96,0.72,81.0,4.43
TOP,15.42,3.66,16.11,1.9,Financial Services,Capital Markets,89.63,71.0,Bull,0.15,639.57,0.71,80.9,
AUGO,89.12,-0.2,2.8,7.5,Basic Materials,Gold,25.5,74.7,Bull,1.28,57.94,0.61,80.1,4.56
WIX,85.76,4.22,4.09,3.6,Technology,Software - Infrastructure,31.21,69.7,Bull,0.88,51.31,0.59,79.9,3.82
VIA,28.26,2.35,6.36,2.3,Technology,Software - Application,29.79,77.5,Bull,0.14,40.67,0.58,78.5,4.6
NUTX,193.9,-1.03,2.84,1.3,Healthcare,Medical Care Facilities,15.67,61.5,Bull,1.24,30.39,0.63,78.1,4.8
ASA,65.29,1.48,4.78,1.2,Financial Services,Asset Management,13.37,72.0,Bull,0.7,28.47,0.92,77.8,
TEAM,185.62,10.18,6.12,47.0,Technology,Software - Application,47.85,77.8,Bull,0.72,89.18,1.12,76.6,4.52
ESTC,106.33,26.98,23.73,8.7,Technology,Software - Application,47.74,80.4,Bull,0.86,61.62,0.18,76.5,4.0
ANDG,56.56,6.46,12.4,6.4,Consumer Cyclical,Personal Services,24.9,72.3,Bull,0.44,22.74,1.02,76.2,4.43
SBSW,12.68,3.45,0.81,8.7,Basic Materials,Other Precious Metals & Mining,20.47,71.9,Bull,0.13,43.47,0.12,76.0,4.0
VEEV,281.96,-0.06,13.74,46.0,Healthcare,Health Information Services,29.93,79.4,Bull,2.22,38.36,0.09,75.8,4.03
ASST,22.32,-3.46,22.5,2.1,Financial Services,Asset Management,51.19,79.4,Bull,1.05,100.9,0.08,75.7,4.8
BMNR,25.33,-1.17,10.95,15.5,Financial Services,Capital Markets,32.14,77.3,Bull,0.63,46.59,0.09,75.7,
TRON,2.17,1.4,7.96,1.0,Consumer Cyclical,Leisure,27.09,75.2,Bull,0.07,55.0,0.07,75.6,
ANF,148.07,1.59,35.83,6.5,Consumer Cyclical,Apparel Retail,40.41,77.6,Bull,3.83,48.75,0.05,75.4,3.93
CRCL,92.72,-1.61,5.39,23.9,Financial Services,Capital Markets,19.96,69.0,Bull,2.31,48.09,0.05,75.4,3.67
SBET,8.62,-2.93,8.98,1.9,Financial Services,Capital Markets,29.51,73.9,Bull,0.21,40.85,0.04,75.4,4.86
CADL,13.65,-0.73,3.96,1.1,Healthcare,Biotechnology,26.5,67.5,Bull,0.15,36.36,0.05,75.4,4.78
EXK,11.4,0.88,7.34,3.3,Basic Materials,Silver,20.17,66.5,Bull,0.07,51.6,0.04,75.3,4.75
GFI,47.89,-0.23,0.17,43.0,Basic Materials,Gold,20.23,72.8,Bull,0.57,47.72,0.04,75.3,4.25
CRM,250.57,-0.59,19.79,206.4,Technology,Software - Application,31.28,78.7,Bull,4.4,36.16,0.04,75.3,4.3
ERO,40.17,0.88,1.9,4.2,Basic Materials,Copper,26.09,69.3,Bull,0.38,49.28,0.02,75.2,4.06
NG,9.12,0.03,4.62,4.0,Basic Materials,Gold,20.52,67.0,Bull,0.12,56.48,0.02,75.2,4.43
FSM,12.9,0.7,6.88,3.9,Basic Materials,Gold,26.44,80.4,Bull,0.17,53.02,0.02,75.2,4.0
RUM,9.43,0.0,4.2,4.7,Communication Services,Internet Content & Information,27.65,69.0,Bull,0.19,61.47,0.03,75.2,3.5
BLSH,33.26,-0.89,9.37,5.4,Technology,Software - Infrastructure,21.67,71.7,Bull,0.94,52.64,0.02,75.2,3.8
WT,25.4,1.42,8.02,3.8,Financial Services,Asset Management,20.02,77.1,Bull,0.18,31.28,0.03,75.2,4.29
ABCL,12.26,-1.17,8.26,3.7,Healthcare,Biotechnology,45.9,70.4,Bull,0.12,114.62,0.02,75.2,4.89
ARIS,21.37,0.52,2.44,4.4,Basic Materials,Gold,23.07,73.2,Bull,0.3,59.96,0.02,75.2,4.5
WPM,158.63,0.41,0.54,71.8,Basic Materials,Gold,21.05,71.7,Bull,1.8,45.69,0.02,75.1,4.69
SSRM,39.13,0.31,3.6,8.0,Basic Materials,Gold,23.76,72.5,Bull,0.6,52.88,0.01,75.1,4.6
SSMR,19.37,2.98,3.92,2.7,Basic Materials,Other Industrial Metals & Mining,20.75,70.7,Bull,0.21,34.79,0.01,75.1,4.33
IAUX,1.93,0.52,6.63,1.7,Basic Materials,Gold,21.22,69.3,Bull,0.02,49.61,0.01,75.1,
TWST,153.02,-0.05,5.11,10.2,Healthcare,Diagnostics & Research,38.85,69.6,Bull,2.04,67.15,0.01,75.1,4.45
NIQ,19.38,1.63,3.19,5.6,N/A,N/A,40.03,83.1,Bull,0.13,73.5,0.01,75.1,4.36
KURA,13.16,-0.15,10.68,1.2,Healthcare,Biotechnology,21.15,67.9,Bull,0.27,46.06,0.02,75.1,4.73
BTG,5.86,0.43,6.07,7.7,Basic Materials,Gold,24.34,75.2,Bull,0.06,56.13,0.01,75.1,4.23
XNCR,28.85,-0.1,3.79,2.1,Healthcare,Biotechnology,37.4,77.0,Bull,0.27,42.76,0.02,75.1,
AVAH,13.84,0.11,5.13,3.0,Healthcare,Medical Care Facilities,31.97,80.2,Bull,0.19,47.34,0.01,75.1,4.27
NPK,153.43,1.51,1.8,1.1,Industrials,Aerospace & Defense,12.3,70.6,Bull,0.97,26.28,0.92,75.1,
WGS,88.05,-1.33,1.13,2.7,Healthcare,Diagnostics & Research,21.44,66.9,Bull,0.64,35.23,0.02,75.1,
HL,21.6,0.8,4.28,14.4,Basic Materials,Other Precious Metals & Mining,22.42,71.5,Bull,0.27,53.02,0.02,75.1,3.7
CDE,22.33,0.54,6.49,22.8,Basic Materials,Gold,22.44,71.5,Bull,0.3,49.77,0.01,75.1,
TGB,9.76,0.83,6.2,3.5,Basic Materials,Copper,21.52,68.3,Bull,0.09,44.17,0.01,75.1,4.71
INBX,124.0,0.06,19.66,1.8,Healthcare,Biotechnology,27.2,74.6,Bull,3.63,51.13,0.01,75.1,4.5
BULL,9.5,-0.73,8.2,5.1,Technology,Software - Application,22.78,70.3,Bull,0.14,34.56,0.01,75.1,5.0
PATH,18.18,-0.82,10.92,9.5,Technology,Software - Infrastructure,30.41,76.7,Bull,0.14,42.48,0.01,75.0,3.2
GWRE,201.12,0.01,6.31,16.7,Technology,Software - Application,24.19,73.2,Bull,1.3,32.37,0.0,75.0,4.38
LIFE,39.55,0.28,15.78,2.5,Financial Services,Insurance Brokers,44.88,81.9,Bull,0.29,93.68,0.0,75.0,4.67
CGAU,24.35,0.4,2.52,4.8,Basic Materials,Gold,23.79,73.6,Bull,0.13,41.97,0.0,75.0,3.75
ARX,19.68,-0.05,0.46,4.3,Financial Services,Insurance Brokers,25.88,77.1,Bull,0.2,65.66,0.0,75.0,3.33
IAG,21.61,0.32,2.22,12.3,Basic Materials,Gold,21.55,71.8,Bull,0.28,52.29,0.0,75.0,4.23
SVM,13.54,0.59,8.06,3.0,Basic Materials,Silver,18.74,71.3,Bull,0.13,44.66,0.03,74.6,4.67
UEC,13.65,0.22,6.97,6.7,Energy,Uranium,18.71,70.8,Bull,0.26,42.19,0.02,74.6,4.56
CGEM,22.29,-1.37,2.81,1.5,Healthcare,Biotechnology,18.37,66.9,Bull,0.18,35.09,0.04,74.5,4.91
NEM,131.91,-0.29,0.25,139.4,Basic Materials,Gold,18.58,71.2,Bull,1.01,40.76,0.02,74.5,4.43
ANRO,35.1,-3.31,2.39,1.4,Healthcare,Biotechnology,19.23,67.2,Bull,0.22,29.66,0.03,74.5,4.82
ALM,18.99,0.53,2.59,5.4,Basic Materials,Other Industrial Metals & Mining,18.72,65.8,Bull,0.48,71.7,0.01,74.5,5.0
APPF,233.2,0.49,3.92,8.2,Technology,Software - Application,21.18,73.8,Bull,1.82,29.42,0.01,74.5,4.56
AG,22.1,1.66,4.79,10.7,Basic Materials,Silver,17.56,69.5,Bull,0.25,47.16,0.06,74.3,
AFGD,21.18,3.22,5.32,1.8,N/A,N/A,8.11,91.1,Bull,0.15,10.07,3.17,74.1,
OGC,31.45,2.51,2.38,7.1,Basic Materials,Gold,13.64,67.1,Bull,0.25,26.72,0.66,74.0,
RGLD,268.62,-0.13,3.71,22.8,Basic Materials,Gold,17.91,77.0,Bull,2.95,35.43,0.01,74.0,4.17
ELF,106.81,0.6,4.77,6.3,Consumer Defensive,Household & Personal Products,23.99,73.5,Bull,0.56,28.85,0.01,73.9,4.28
VIR,11.25,-0.53,15.03,1.9,Healthcare,Biotechnology,17.48,72.8,Bull,0.25,29.91,0.01,73.8,
STRD,73.84,1.11,4.29,28.4,Technology,Software - Application,11.52,77.3,Bull,0.58,22.76,1.23,73.8,
BTU,29.6,0.54,7.21,3.6,Energy,Thermal Coal,17.26,73.6,Bull,0.45,39.26,0.01,73.7,4.33
HCC,108.5,0.22,1.66,5.7,Basic Materials,Coking Coal,17.04,73.8,Bull,0.83,36.75,0.01,73.6,4.14
ASM,7.82,1.23,5.74,1.3,Basic Materials,Other Precious Metals & Mining,16.45,65.6,Bull,0.05,46.81,0.04,73.5,4.5
HBM,30.49,0.43,1.43,13.5,Basic Materials,Copper,16.88,67.0,Bull,0.26,34.02,0.01,73.5,4.57
GO,11.94,2.06,2.94,1.2,Consumer Defensive,Grocery Stores,16.85,66.8,Bull,0.1,29.94,0.01,73.5,2.86
