Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
FBRX,76.45,39.56,60.98,1.1,N/A,N/A,127.36,85.6,Bull,2.97,263.53,5.39,100.0,
SAFT,103.2,41.49,39.2,1.5,Financial Services,Insurance - Property & Casualty,38.35,86.4,Bull,1.46,42.36,8.22,100.0,
OII,52.73,9.81,24.72,5.2,N/A,N/A,30.11,83.5,Bull,0.92,33.93,2.87,99.0,
MGRT,95.0,-5.0,13.11,1.3,N/A,N/A,14.5,59.2,Bull,2.56,19.45,3.53,86.7,
DAO,15.36,4.85,5.57,1.9,N/A,N/A,20.11,66.7,Bull,0.11,39.26,0.72,81.0,
TRAX,44.35,24.85,20.27,1.2,N/A,N/A,71.62,79.7,Bull,0.71,176.64,0.54,79.5,
BCO,122.0,0.75,1.57,5.0,N/A,N/A,13.29,75.8,Bull,1.71,28.18,0.88,77.2,
RNG,50.45,4.43,23.83,4.0,N/A,N/A,24.5,70.8,Bull,0.87,35.69,0.04,75.4,
KARO,64.29,1.5,0.82,2.0,N/A,N/A,20.17,72.9,Bull,0.35,31.72,0.01,75.1,
UTZ,14.11,0.09,89.43,2.0,N/A,N/A,61.87,87.1,Bull,0.74,83.04,0.02,75.1,
XNCR,19.61,0.87,4.25,1.4,N/A,N/A,30.22,72.2,Bull,0.3,30.3,0.02,75.1,
TDTH,2.95,0.0,6.5,3.3,N/A,N/A,13.67,57.8,Bull,0.07,97.99,0.0,71.8,
CBZ,43.21,1.36,3.3,2.3,N/A,N/A,20.32,70.0,Bull,0.19,36.91,0.01,71.1,
THC,236.7,1.5,21.77,20.1,N/A,N/A,22.28,74.6,Bull,3.19,25.24,0.01,70.4,
WEX,175.49,-0.37,7.34,6.0,N/A,N/A,15.47,69.8,Bull,1.9,27.16,0.01,70.0,
UGP,6.36,-1.07,2.11,7.2,Energy,Oil & Gas Refining & Marketing,12.79,70.9,Bull,0.05,28.25,0.02,69.8,4.0
DSGR,34.51,0.0,0.03,1.6,Industrials,Industrial Distribution,17.78,83.8,Bull,0.56,24.05,0.04,68.3,3.0
BLKB,32.71,4.67,0.96,1.5,Technology,Software - Application,4.3,59.4,Bull,0.24,23.06,0.94,68.1,
NMM,79.1,2.97,10.83,2.3,Industrials,Marine Shipping,8.62,64.5,Bull,0.37,13.44,2.11,67.8,5.0
CERT,7.64,1.73,10.09,1.2,Healthcare,Health Information Services,19.54,68.9,Bull,0.03,30.82,0.0,66.8,3.67
IVA,4.47,0.22,1.25,1.1,Healthcare,Biotechnology,0.71,55.3,Bull,0.03,31.09,0.05,65.8,4.85
DAC,140.22,2.02,12.19,2.6,Industrials,Marine Shipping,10.8,74.1,Bull,1.42,13.53,1.4,65.6,
EQNR,38.97,-3.42,4.34,100.9,Energy,Oil & Gas Integrated,8.2,62.8,Bull,0.67,25.59,0.11,65.6,2.67
IQ,1.24,1.64,0.81,1.2,Communication Services,Entertainment,7.74,62.1,Bull,0.01,25.76,0.02,64.8,3.7
ETON,42.65,0.15,3.86,1.2,Healthcare,Drug Manufacturers - Specialty & Generic,21.07,66.3,Bull,0.28,19.48,0.02,64.6,5.0
PAG,219.09,0.8,12.07,14.3,Consumer Cyclical,Auto & Truck Dealerships,18.22,75.9,Bull,2.21,20.24,0.01,64.5,3.3
LXP,60.81,-0.02,3.93,3.6,Real Estate,REIT - Industrial,11.46,76.1,Bull,0.44,13.26,1.17,63.8,3.88
BMNR,17.17,8.74,3.25,9.5,Financial Services,Capital Markets,1.87,55.9,Bull,0.3,26.62,0.11,63.5,5.0
NUVB,6.67,3.89,6.55,2.2,Healthcare,Biotechnology,19.27,66.5,Bull,0.05,18.05,0.02,62.9,4.6
ORIC,12.1,11.11,12.77,1.3,Healthcare,Biotechnology,20.8,69.9,Bull,0.01,27.91,2.06,62.8,4.73
AMTB,28.5,10.25,8.86,1.1,Financial Services,Banks - Regional,15.76,73.7,Bull,0.08,14.18,2.52,62.8,4.0
CTAS,207.7,0.87,2.92,82.4,Industrials,Specialty Business Services,12.89,73.3,Bull,1.78,20.83,0.01,62.4,3.8
ENOV,27.47,1.61,2.33,1.6,Healthcare,Medical Devices,12.46,59.9,Bull,0.14,20.94,0.01,62.2,4.67
TRV,388.05,0.21,5.31,80.8,Financial Services,Insurance - Property & Casualty,17.09,81.1,Bull,3.65,18.54,0.01,62.2,3.03
LPG,43.97,-2.99,2.03,1.9,Energy,Oil & Gas Midstream,8.63,59.1,Bull,0.58,21.92,0.06,61.7,4.0
DPZ,332.97,3.01,3.35,11.0,Consumer Cyclical,Restaurants,4.8,61.5,Bull,2.66,16.65,0.8,60.7,3.97
SM,32.0,-3.6,2.29,8.0,Energy,Oil & Gas E&P,7.31,59.2,Bull,0.5,21.47,0.06,60.6,4.2
LAD,347.8,2.01,6.96,7.8,Consumer Cyclical,Auto & Truck Dealerships,12.89,68.6,Bull,1.96,19.07,0.02,60.6,4.31
CLF,11.92,-0.08,32.74,6.8,Basic Materials,Steel,11.41,64.6,Bull,0.35,19.8,0.02,60.6,3.08
UNF,294.34,1.59,1.0,5.3,Industrials,Specialty Business Services,8.39,73.1,Bull,1.52,12.17,1.1,60.5,3.0
MORN,172.61,3.01,0.08,6.6,Financial Services,Financial Data & Stock Exchanges,1.82,55.0,Bull,0.7,22.06,1.03,60.1,4.33
THRM,41.25,-3.37,15.97,1.3,Consumer Cyclical,Auto Parts,16.01,62.2,Bull,0.71,16.43,0.06,59.9,4.0
WKC,38.14,5.16,4.49,2.0,Energy,Oil & Gas Refining & Marketing,17.82,77.7,Bull,0.04,19.3,3.37,59.7,2.33
BZ,15.72,1.95,0.83,7.1,Communication Services,Internet Content & Information,9.98,64.0,Bull,0.13,18.28,0.02,58.5,4.68
CRSR,10.19,3.4,7.78,1.1,Technology,Computer Hardware,13.7,58.2,Bull,0.05,18.29,0.03,58.4,3.78
RYZ,30.79,3.64,4.02,1.6,Industrials,Metal Fabrication,12.34,67.0,Bull,0.4,10.68,0.73,57.9,
ABT,103.06,2.29,2.36,179.5,Healthcare,Medical Devices,10.05,68.3,Bull,0.83,11.32,0.79,57.9,4.33
SAH,102.28,2.46,6.17,3.2,Consumer Cyclical,Auto & Truck Dealerships,17.19,66.8,Bull,0.41,21.03,0.01,57.7,3.67
SF,81.89,1.32,5.71,12.4,Financial Services,Capital Markets,8.91,71.7,Bull,0.55,18.22,0.01,57.7,3.62
FTI,76.24,-0.66,5.82,30.6,Energy,Oil & Gas Equipment & Services,7.94,66.2,Bull,0.62,18.31,0.01,57.4,4.05
SSL,11.66,-1.44,1.83,7.7,Basic Materials,Specialty Chemicals,1.85,56.5,Bull,0.22,20.58,0.06,57.0,
ONC,327.63,0.53,5.49,36.2,Healthcare,Biotechnology,9.11,70.4,Bull,1.93,17.06,0.02,56.8,4.71
SSNC,74.3,0.57,6.89,17.8,Technology,Software - Application,9.47,68.0,Bull,0.7,16.71,0.01,56.6,4.3
TNET,62.58,1.35,3.12,2.8,Industrials,Staffing & Employment Services,21.0,75.8,Bull,0.18,26.13,0.01,56.5,3.43
SU,63.93,-2.86,2.7,77.7,Energy,Oil & Gas Integrated,4.84,60.5,Bull,0.82,18.61,0.04,56.4,3.95
SKM,36.4,2.05,15.89,13.7,Communication Services,Telecom Services,5.58,61.0,Bull,0.73,13.5,0.59,56.2,3.0
DXC,10.35,3.03,10.99,1.7,Technology,Information Technology Services,7.09,62.9,Bull,0.09,17.4,0.01,56.0,2.88
HXL,110.67,0.35,4.67,8.3,Industrials,Aerospace & Defense,12.54,71.7,Bull,0.73,14.65,0.01,56.0,3.5
HBNB,5.9,2.61,2.61,1.4,Real Estate,Real Estate Services,3.22,59.7,Bull,0.06,15.69,0.42,55.8,
MEDP,592.0,-1.56,12.14,16.8,Healthcare,Diagnostics & Research,15.89,69.2,Bull,3.83,12.32,0.05,55.7,3.08
OVV,61.76,-2.17,6.91,17.8,Energy,Oil & Gas E&P,8.93,67.0,Bull,0.82,16.11,0.02,55.7,4.46
WF,65.07,3.75,4.2,15.9,Financial Services,Banks - Regional,3.86,60.2,Bull,0.3,13.44,0.91,55.4,5.0
NDAQ,92.37,0.3,0.54,51.5,Financial Services,Financial Data & Stock Exchanges,5.13,60.0,Bull,0.47,17.58,0.02,55.3,4.29
JEF,57.22,2.43,3.69,10.8,Financial Services,Capital Markets,5.74,57.2,Bull,0.33,16.53,0.11,55.3,3.67
RTX,214.57,0.84,10.36,286.8,Industrials,Aerospace & Defense,11.96,75.2,Bull,1.58,14.14,0.03,55.3,4.13
