Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
UTZ,14.09,89.13,88.37,1.2,Consumer Defensive,Packaged Foods,80.96,87.1,Bull,0.36,105.69,8.65,100.0,4.18
IOVA,5.31,5.98,35.11,2.4,Healthcare,Biotechnology,27.45,69.0,Bull,0.1,30.79,0.18,76.5,4.4
DAVE,450.02,2.21,7.92,5.7,Technology,Software - Application,34.27,77.1,Bull,3.02,45.3,0.13,76.1,4.58
CRNX,83.93,0.36,0.27,8.9,Healthcare,Biotechnology,56.13,93.1,Bull,1.49,137.24,0.13,76.1,3.29
TRAX,41.47,12.07,20.64,1.4,Healthcare,Biotechnology,74.84,83.3,Bull,1.5,126.34,0.12,76.0,4.62
PARR,81.0,3.49,10.13,4.1,Energy,Oil & Gas Refining & Marketing,30.2,81.3,Bull,1.85,58.67,0.12,76.0,4.43
ATAI,7.2,0.49,26.9,2.7,Healthcare,Biotechnology,45.17,74.8,Bull,0.22,77.65,0.11,76.0,3.71
COAG,48.84,-1.11,12.77,2.3,Healthcare,Biotechnology,42.97,76.8,Bull,1.46,53.88,0.12,76.0,5.0
DINO,91.65,1.13,10.28,16.5,Energy,Oil & Gas Refining & Marketing,24.77,83.1,Bull,1.65,39.21,0.12,76.0,3.56
DK,65.76,1.17,7.89,4.0,Energy,Oil & Gas Refining & Marketing,29.52,79.7,Bull,1.05,53.36,0.12,76.0,3.83
ACHC,35.08,3.74,11.03,3.2,Healthcare,Medical Care Facilities,24.26,74.3,Bull,0.34,39.17,0.11,75.9,4.0
DAO,15.38,0.07,10.25,1.9,Consumer Defensive,Education & Training Services,22.77,70.4,Bull,0.22,38.43,0.08,75.7,
PBF,64.85,0.64,6.5,7.7,Energy,Oil & Gas Refining & Marketing,35.09,80.1,Bull,1.34,65.05,0.08,75.7,2.79
KARO,63.06,-1.11,11.49,1.9,Technology,Software - Application,21.79,77.1,Bull,0.93,34.99,0.08,75.7,4.33
FA,22.12,-0.81,4.59,3.8,Industrials,Specialty Business Services,24.77,76.3,Bull,0.18,37.14,0.08,75.7,3.6
AMPL,9.88,1.96,1.96,1.3,Technology,Software - Application,22.76,73.8,Bull,0.08,52.94,0.09,75.7,4.25
NSP,51.44,-0.5,8.29,2.0,Industrials,Staffing & Employment Services,28.88,73.7,Bull,0.41,50.81,0.08,75.7,
KFRC,58.69,1.38,5.42,1.0,Industrials,Staffing & Employment Services,21.57,71.2,Bull,0.42,33.57,0.05,75.4,
MAN,52.6,-0.98,34.25,2.4,Industrials,Staffing & Employment Services,44.2,79.0,Bull,1.54,67.89,0.04,75.4,3.58
COTY,2.67,-1.48,18.67,2.4,Consumer Defensive,Household & Personal Products,20.19,73.4,Bull,0.06,39.79,0.04,75.4,2.94
XNCR,19.22,1.69,28.56,1.4,Healthcare,Biotechnology,35.02,77.3,Bull,0.28,37.19,0.04,75.3,4.5
TNET,60.5,-0.31,6.44,2.8,Industrials,Staffing & Employment Services,20.73,73.4,Bull,0.42,41.2,0.04,75.3,
DMRA,32.65,-1.03,5.36,2.0,Healthcare,Biotechnology,23.2,65.3,Bull,0.4,36.7,0.01,75.1,
CLMT,43.11,-2.07,8.95,3.8,Basic Materials,Specialty Chemicals,19.0,81.3,Bull,0.55,29.65,0.08,74.8,3.67
CCC,6.28,1.29,3.46,3.7,Technology,Software - Application,17.81,68.7,Bull,0.07,46.39,0.04,74.2,4.09
AVPT,13.15,-0.53,1.23,2.8,Technology,Software - Infrastructure,14.75,73.8,Bull,0.09,31.9,0.12,73.4,4.29
FIVN,25.83,-0.09,1.0,2.0,Technology,Software - Infrastructure,15.2,66.2,Bull,0.17,37.27,0.09,73.3,
MPC,316.82,-0.06,4.42,92.5,Energy,Oil & Gas Refining & Marketing,18.55,79.1,Bull,4.17,28.12,0.11,73.3,3.67
CNMD,42.94,-1.19,2.84,1.3,Healthcare,Medical Devices,15.07,64.4,Bull,0.85,31.95,0.06,73.1,2.86
VLO,312.64,-0.72,3.72,92.8,Energy,Oil & Gas Refining & Marketing,17.65,73.1,Bull,3.61,28.25,0.11,73.0,3.58
BILL,44.58,-3.03,7.76,4.4,Technology,Software - Application,14.73,68.3,Bull,0.58,39.49,0.06,72.9,4.09
LZ,7.55,-1.68,1.07,1.3,Industrials,Specialty Business Services,13.11,63.9,Bull,0.06,37.77,0.06,72.0,3.56
VG,14.37,-0.05,8.62,35.7,Energy,Oil & Gas Midstream,15.49,66.9,Bull,0.33,27.62,0.12,71.4,3.89
QTWO,54.94,-1.16,6.15,3.4,Technology,Software - Application,10.75,63.7,Bull,0.39,30.52,0.1,71.2,4.42
KVYO,18.19,0.89,3.88,5.4,Technology,Software - Application,10.35,67.5,Bull,0.19,41.45,0.08,70.9,4.73
HUBS,225.0,-2.91,7.31,11.5,Technology,Software - Application,8.41,61.4,Bull,4.12,30.21,0.12,70.2,4.21
BJRI,68.27,-0.94,10.77,1.4,Consumer Cyclical,Restaurants,26.51,76.8,Bull,0.38,24.76,0.04,70.1,3.8
EVCM,11.32,-4.23,3.1,2.0,Technology,Software - Application,8.62,60.5,Bull,0.19,29.97,0.08,69.9,3.56
GWRE,146.39,-1.89,4.04,12.2,Technology,Software - Application,8.67,62.7,Bull,2.22,42.56,0.05,69.8,4.36
DSGR,34.49,-0.04,24.99,1.6,Industrials,Industrial Distribution,21.4,83.8,Bull,0.88,22.11,0.3,69.6,3.0
PSX,211.1,0.31,4.79,84.6,Energy,Oil & Gas Refining & Marketing,16.02,75.2,Bull,2.97,25.35,0.05,68.8,3.95
ZBIO,31.26,0.22,8.62,2.0,Healthcare,Biotechnology,30.2,70.9,Bull,0.13,50.29,0.02,68.6,4.75
APPN,25.63,-1.54,1.79,1.9,Technology,Software - Infrastructure,7.87,59.6,Bull,0.15,28.99,0.08,68.6,3.14
CHYM,22.22,1.32,3.54,8.5,Technology,Software - Application,11.14,64.4,Bull,0.1,31.32,0.1,68.4,4.42
INSP,52.74,-0.99,7.3,1.5,Healthcare,Medical Devices,9.82,65.2,Bull,0.39,27.55,0.02,67.6,3.31
PCTY,125.93,-1.07,2.28,6.7,Technology,Software - Application,10.85,65.2,Bull,1.29,26.55,0.05,67.4,4.53
CVI,35.11,1.28,4.54,3.5,Energy,Oil & Gas Refining & Marketing,12.33,66.8,Bull,0.72,25.82,0.04,67.3,1.83
MANH,162.68,-1.71,2.58,9.6,Technology,Software - Application,10.46,64.6,Bull,1.28,26.34,0.08,67.2,4.17
GPN,81.72,-1.54,7.68,22.4,Industrials,Specialty Business Services,12.43,64.6,Bull,0.64,25.55,0.02,66.9,3.62
EEFT,80.26,-1.37,3.94,3.1,Technology,Software - Infrastructure,9.81,66.8,Bull,0.45,25.95,0.07,66.4,3.88
DFIN,48.4,-1.28,3.75,1.2,Technology,Software - Application,10.08,65.4,Bull,0.46,25.68,0.03,65.9,4.33
WDAY,142.43,-3.77,1.87,35.2,Technology,Software - Application,6.18,56.5,Bull,1.08,26.0,0.15,65.3,4.0
