=== Stock Screener — 2026-06-24 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2774 stocks with market cap > $1B
  Top 5 by daily gain: MAAS(+19.0%), EPC(+15.4%), QNT(+13.5%), JBIO(+13.0%), LILA(+12.7%)
  S&P 500 loaded: 503 tickers
Screening 2774 stocks...
  Priority tier: 902 (top 500 movers + 402 S&P 500)
  Remaining: 1872

  === Priority Tier ===
  Priority: 300/902 (177 passed, 0 errors)
  Priority: 600/902 (239 passed, 186 errors)
  Priority: 900/902 (239 passed, 486 errors)
  Priority: 902/902 (239 passed, 488 errors)

  Retrying 488 priority tickers...
  After priority retry: 239 passed

  === Remaining Tier ===
  Remaining: 300/1872 (239 total passed)
  Remaining: 600/1872 (239 total passed)
  Remaining: 900/1872 (239 total passed)
  Remaining: 1200/1872 (239 total passed)
  Remaining: 1500/1872 (239 total passed)
  Remaining: 1800/1872 (239 total passed)
  Remaining: 1872/1872 (239 total passed)

  Final: 239 stocks passed all filters

================================================================================
  239 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker   Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
36    PTGX  120.07   0.93   8.52       7.7              Healthcare                             Biotechnology       15.55  70.8  Bull       1.66   20.09       0.04      63.2    4.62
37    ETSY   76.72   2.45   4.61       7.3       Consumer Cyclical                           Internet Retail       17.18  73.3  Bull       0.46   19.26       0.03      63.1    3.43
38    PRSU   52.52  -0.91   7.47       1.4       Consumer Cyclical                           Travel Services       17.96  83.1  Bull       0.53   18.34       0.01      62.4    5.00
39    CGEM   18.07   0.42  33.32       1.1              Healthcare                             Biotechnology       23.40  69.4  Bull       0.49   16.85       0.06      62.4    4.92
40    RCUS   28.53   3.26  21.15       3.6              Healthcare                             Biotechnology       17.39  68.6  Bull       0.54   18.23       0.05      62.4    4.54
41    XERS    7.43   2.55   7.75       1.3              Healthcare  Drug Manufacturers - Specialty & Generic       15.25  73.5  Bull       0.08   18.77       0.05      61.8     NaN
42    STUB   11.69   0.52   1.66       4.4  Communication Services            Internet Content & Information       21.57  70.3  Bull       0.05   20.15       0.03      61.5    4.00
43    KLIC  124.62  -3.47   6.46       6.5              Technology       Semiconductor Equipment & Materials       23.84  70.7  Bull       1.33   14.99       0.10      60.8     NaN
44    ELVN   48.97   0.28  15.09       3.5              Healthcare                             Biotechnology       20.85  67.4  Bull       1.22   15.14       0.05      60.6    5.00
45    EWTX   39.51   1.04  16.36       4.3              Healthcare                             Biotechnology       15.34  64.2  Bull       0.39   17.71       0.01      60.5    4.45
46     OSW   28.30   0.69   7.34       2.9       Consumer Cyclical                                   Leisure       14.89  75.1  Bull       0.38   16.39       0.03      59.1    5.00
47    LILA    6.22   1.30  17.53       1.3  Communication Services                          Telecom Services       15.36  65.7  Bull       0.08   14.45       0.17      58.6     NaN
48     BGC   12.52  -1.42   5.74       6.0      Financial Services                           Capital Markets       12.59  74.7  Bull       0.16   16.36       0.09      58.4     NaN
49    AVAH    8.35  -0.83  11.04       1.8              Healthcare                   Medical Care Facilities       16.28  75.0  Bull       0.14   14.70       0.06      58.4    4.27
50    EXPE  259.73   6.00   6.64      31.2       Consumer Cyclical                           Travel Services       10.88  68.9  Bull       3.30   16.74       0.09      57.9    3.83
51    KNSA   60.02   3.82  14.76       4.6              Healthcare  Drug Manufacturers - Specialty & Generic       15.96  74.2  Bull       1.13   13.55       0.13      57.6     NaN
52    VKTX   35.25   0.80  18.89       4.1              Healthcare                             Biotechnology       12.58  69.5  Bull       0.74   14.45       0.10      56.6    4.55
53    REYN   24.98   0.84   5.75       5.3       Consumer Cyclical                    Packaging & Containers       11.60  78.4  Bull       0.17   14.52       0.06      55.8     NaN
54     CAH  231.13   1.37   1.50      54.1              Healthcare                      Medical Distribution       10.27  74.0  Bull       1.69   15.35       0.03      55.7    4.53
55    CART   46.38  -0.26   4.91      10.9       Consumer Cyclical                           Internet Retail       11.50  65.1  Bull       0.48   14.43       0.02      55.4    3.97
56    GKOS  133.46  -0.88   4.65       7.8              Healthcare                           Medical Devices        7.13  58.8  Bull       1.55   16.09       0.02      54.8    4.77
57    MEDP  495.64   4.68   7.37      14.2              Healthcare                    Diagnostics & Research        8.39  69.4  Bull       2.41   15.50       0.08      54.5    3.38
58    IOVA    4.49  -0.99  17.67       2.0              Healthcare                             Biotechnology       16.17  62.0  Bull       0.03    9.63       0.17      54.2    4.40
59    SKWD   53.42   0.99   7.65       2.2      Financial Services           Insurance - Property & Casualty       13.00  72.9  Bull       0.58   12.15       0.03      53.9    4.08
60   LILAK    6.16   3.70  16.40       1.2  Communication Services                          Telecom Services       13.11  64.2  Bull       0.08   11.26       0.09      53.6    4.00
61     CNO   52.69   0.35   3.20       4.9      Financial Services                          Insurance - Life       11.78  80.0  Bull       0.30   12.39       0.03      53.5    3.40
62    MIRM  111.07  -0.03   9.37       6.8              Healthcare                             Biotechnology       11.73  69.2  Bull       1.73   12.31       0.04      53.5    4.71
63    OSCR   28.90  -3.30   1.19       8.7              Healthcare                          Healthcare Plans       25.82  65.6  Bull       0.05   32.02       0.08      53.0    3.18
64    RVMD  168.95  -1.77   7.90      35.9              Healthcare                             Biotechnology       15.73  65.4  Bull       1.18    9.08       0.06      52.4    4.71
65    TARS   68.68   3.79  12.96       3.0              Healthcare                             Biotechnology        8.15  68.4  Bull       0.93   12.30       0.06      51.9     NaN
66    JBIO   23.14   3.49  49.00       1.4              Healthcare                             Biotechnology       19.40  65.5  Bull       0.84    6.59       0.05      51.7    5.00
67    ROIV   32.56   0.03   7.07      23.4              Healthcare                             Biotechnology       10.76  67.1  Bull       0.31    9.76       0.10      51.0    4.69
68     VIR   10.28   1.38  19.40       1.7              Healthcare                             Biotechnology       11.92  66.1  Bull       0.21    9.59       0.03      50.8    4.70
69     HCI  173.50   0.44   5.64       2.2      Financial Services           Insurance - Property & Casualty        9.16  72.8  Bull       1.60   10.20       0.06      50.3     NaN
