=== Stock Screener — 2026-06-11 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2755 stocks with market cap > $1B
  Top 5 by daily gain: PBLS(+58.0%), FAC(+37.1%), FRMI(+22.6%), CASY(+20.3%), PLBL(+16.4%)
Screening 2755 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2455

  === Priority Tier ===
  Priority: 300/300 (167 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2455 (221 total passed)
  Remaining: 600/2455 (221 total passed)
  Remaining: 900/2455 (221 total passed)
  Remaining: 1200/2455 (221 total passed)
  Remaining: 1500/2455 (221 total passed)
  Remaining: 1800/2455 (221 total passed)
  Remaining: 2100/2455 (221 total passed)
  Remaining: 2400/2455 (221 total passed)
  Remaining: 2455/2455 (221 total passed)

  Final: 221 stocks passed all filters

================================================================================
  221 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker   Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
37    SNEX  129.02   0.02  13.13      10.2      Financial Services                           Capital Markets       20.42  72.5  Bull       1.06   11.20       0.10      57.0    5.00
38    ALHC   20.66   1.25  37.06       4.3              Healthcare                          Healthcare Plans       15.74  67.5  Bull       0.77   13.05       0.10      56.8    4.57
39    ELVN   44.56  18.07  25.56       2.7              Healthcare                             Biotechnology       15.03  62.9  Bull       0.22    2.30       1.54      56.6    5.00
40     RLI   54.30   0.56   7.85       5.0      Financial Services           Insurance - Property & Casualty        4.72  66.7  Bull       0.60   18.69       0.06      56.5     NaN
41    DUOL  121.37  -0.07  11.20       5.7              Technology                    Software - Application       10.16  63.6  Bull       1.09   15.61       0.09      56.5    3.17
42    ACEL   13.26   0.34   9.82       1.1       Consumer Cyclical                                  Gambling       11.29  72.5  Bull       0.14   15.06       0.03      55.9    4.50
43     CAH  217.90   1.82   8.01      51.0              Healthcare                      Medical Distribution        7.26  72.2  Bull       2.58   16.93       0.04      55.9    4.53
44    TFSL   16.82   1.77   4.78       4.7      Financial Services                          Banks - Regional       11.02  77.7  Bull       0.09   14.45       0.03      55.3     NaN
45     TJX  169.33   1.85   6.75     187.1       Consumer Cyclical                            Apparel Retail        7.79  71.6  Bull       1.59   15.54       0.05      54.9    4.62
46    TGTX   46.49  -0.13  14.62       7.1              Healthcare                             Biotechnology       21.77  73.1  Bull       0.65    9.00       0.05      54.4    4.33
47     AJG  222.10   0.89   5.61      57.1      Financial Services                         Insurance Brokers        5.47  65.4  Bull       2.48   16.06       0.05      54.2    4.14
48     UNM   90.99   1.12   7.16      14.5      Financial Services                          Insurance - Life       11.43  80.3  Bull       0.57   13.13       0.02      54.0    4.17
49    COKE  191.62  -0.48  12.54      12.8      Consumer Defensive                 Beverages - Non-Alcoholic        4.67  60.5  Bull       2.68   16.14       0.04      53.8     NaN
50    TBBB   40.51  -0.10   6.05       4.9      Consumer Defensive                           Discount Stores        8.97  59.5  Bull       0.36   13.63       0.02      53.3    4.08
51    CHEF   87.75   4.73  13.17       3.6      Consumer Defensive                         Food Distribution       16.96  78.2  Bull       0.59    9.01       0.07      53.1    4.62
52    LGND  248.50  -1.86   5.34       5.0              Healthcare                             Biotechnology       10.42  69.3  Bull       1.76   12.34       0.04      52.9    4.78
53    LAUR   36.78   0.64   9.63       5.1      Consumer Defensive             Education & Training Services       10.05  73.1  Bull       0.41   12.58       0.03      52.9    4.20
54    TIGO   92.05   3.25   5.45      15.4  Communication Services                          Telecom Services       12.54  64.2  Bull       0.44   12.28       0.12      52.8    3.50
55    RYAN   35.02   1.01  10.09       9.2      Financial Services                     Insurance - Specialty        3.40  59.4  Bull       0.38   15.69       0.02      52.6    3.83
56     HBT   30.65  -1.10   6.98       1.1      Financial Services                          Banks - Regional        8.78  71.1  Bull       0.23   13.10       0.02      52.6     NaN
57     MRX   62.37   2.73  14.48       4.5      Financial Services                           Capital Markets       18.97  70.9  Bull       0.78    7.38       0.07      52.4    4.38
58    SKWD   49.46   1.87  12.33       2.0      Financial Services           Insurance - Property & Casualty        8.01  65.6  Bull       0.42   12.33       0.06      51.9    4.17
59     NWL    4.36  -2.47  13.54       1.9      Consumer Defensive             Household & Personal Products       12.15  62.7  Bull       0.12   10.07       0.07      51.7     NaN
60    INNV    8.30   6.21  15.21       1.1              Healthcare                   Medical Care Facilities        8.11  64.4  Bull       0.13   12.25       0.02      51.5    2.67
61    ZION   66.23   0.81   5.04       9.7      Financial Services                          Banks - Regional        7.69  68.7  Bull       0.43   11.89       0.06      51.3    3.57
62      DK   48.59   1.19   1.93       3.0                  Energy            Oil & Gas Refining & Marketing        9.93  61.2  Bull       0.26   10.73       0.06      51.2    3.62
63    WDFC  223.85   0.37  10.25       3.0         Basic Materials                       Specialty Chemicals        6.71  69.4  Bull       2.78   12.17       0.03      50.8     NaN
64     CPB   22.78  -0.55   5.72       6.8      Consumer Defensive                            Packaged Foods        6.28  71.0  Bull       0.26   11.95       0.08      50.7    2.70
65    MAAS   11.96   8.98   8.88       5.3      Financial Services                          Asset Management       25.58  63.2  Bear      -0.09   31.37       1.25      50.4     NaN
66    REYN   23.55   0.39   8.63       5.0       Consumer Cyclical                    Packaging & Containers        7.95  73.7  Bull       0.19   10.40       0.02      49.5     NaN
67    CAVA   81.75   0.62  13.94       9.5       Consumer Cyclical                               Restaurants        2.06  55.3  Bull       0.85   13.07       0.04      49.5    4.00
68     CNO   50.15   1.06   6.84       4.7      Financial Services                          Insurance - Life       10.22  75.6  Bull       0.25    9.39       0.03      49.4    3.40
69    IPAR   98.54   0.18  10.87       3.2      Consumer Defensive             Household & Personal Products        6.55  63.5  Bull       0.81   11.02       0.02      49.4    4.67
70     RSI   28.91  -1.18  10.20       6.7       Consumer Cyclical                                  Gambling       13.56  66.9  Bull       0.16    7.02       0.03      49.0    4.64
71    MUSA  618.58   2.08  14.60      11.4       Consumer Cyclical                          Specialty Retail       15.90  72.2  Bull       7.69    5.21       0.04      48.5    3.50
72    CTBI   70.51   0.31   4.44       1.3      Financial Services                          Banks - Regional        7.42  68.1  Bull       0.35    9.28       0.03      47.8     NaN
73     TGS   32.20   4.48   5.37       4.8                  Energy                      Oil & Gas Integrated        4.95  59.6  Bull       0.16    9.67       0.06      47.7     NaN
74    GABC   45.92   0.64   5.06       1.7      Financial Services                          Banks - Regional        6.33  68.0  Bull       0.26    8.79       0.06      47.4     NaN
75    ASIC   21.19   0.62   9.00       1.0      Financial Services           Insurance - Property & Casualty        5.55  61.4  Bull       0.14    9.40       0.00      47.2     NaN
76    FTDR   67.45   0.67   6.71       4.7       Consumer Cyclical                         Personal Services        8.05  65.3  Bull       0.54    7.68       0.03      47.0     NaN
77    INCY  105.97   0.09   4.67      21.2              Healthcare                             Biotechnology        7.96  66.8  Bull       0.97    7.24       0.08      46.8    3.59
78    CALY   16.43   2.72   9.57       3.0       Consumer Cyclical                                   Leisure        8.81  62.4  Bull       0.08    7.14       0.03      46.8     NaN
79    PLGO   23.58   0.49  10.16       2.0      Financial Services                   Insurance - Diversified       10.22  66.6  Bull       0.08   16.53       0.05      46.3    3.12
80    UNIT   12.20   5.22   3.52       3.0             Real Estate                          REIT - Specialty       12.17  65.7  Bull       0.05    8.01       0.56      46.1     NaN
81     CHA   11.93   1.92   2.98       2.3       Consumer Cyclical                               Restaurants        9.09  58.0  Bull       0.04   14.01       0.19      46.0    4.20
82    CEPU   15.87   5.10   5.94       2.4               Utilities            Utilities - Regulated Electric        5.63  59.5  Bull       0.07   11.92       0.03      46.0     NaN
83     AON  337.47   0.34   4.73      72.1      Financial Services                         Insurance Brokers        4.47  64.9  Bull       2.09    8.55       0.01      45.9    4.05
84    VIRT   55.78   1.43   8.38      12.0      Financial Services                           Capital Markets       11.85  65.5  Bull       0.35    4.60       0.05      45.9    3.43
85    RDNT   58.02   0.89   9.87       4.6              Healthcare                    Diagnostics & Research        2.01  58.9  Bull       0.63    9.51       0.03      45.8    4.75
86    STBA   47.42   0.39   4.60       1.7      Financial Services                          Banks - Regional        7.29  68.7  Bull       0.22    9.40       0.02      45.5     NaN
87      GL  163.61   2.66   6.03      12.7      Financial Services                          Insurance - Life        7.34  67.2  Bull       0.81    6.94       0.01      45.2    4.09
88     MTN  137.15   1.59   2.05       4.9       Consumer Cyclical                         Resorts & Casinos        5.33  61.4  Bull       0.55   13.93       0.02      44.8    3.67
89    ERIE  231.82  -0.07   5.61      12.1      Financial Services                         Insurance Brokers        1.12  58.7  Bull       2.68    9.01       0.02      44.7     NaN
90    ARQT   23.31   0.39   6.20       2.9              Healthcare                             Biotechnology        3.89  60.3  Bull       0.34    7.47       0.01      44.5    4.50
91    JJSF   78.16  -1.36   5.31       1.5      Consumer Defensive                            Packaged Foods        0.10  54.7  Bull       0.63    9.21       0.02      44.4    4.33
92    CWST   89.92  -1.35   7.50       5.7             Industrials                          Waste Management        4.69  59.6  Bull       0.50    6.65       0.03      44.2    4.27
93    CASY  897.71  -1.58  17.88      33.3       Consumer Cyclical                          Specialty Retail       13.86  66.2  Bull       9.03    1.05       0.08      43.7    4.21
94      HG   32.04   0.14  10.04       3.2      Financial Services                   Insurance - Reinsurance        4.91  60.8  Bull       0.20    5.86       0.04      43.6    3.83
95    BJRI   48.51  -0.91  13.07       1.0       Consumer Cyclical                               Restaurants       15.18  70.4  Bull       0.13   17.33       0.02      43.5     NaN
96     HCI  162.17   2.57   7.95       2.1      Financial Services           Insurance - Property & Casualty        3.98  61.6  Bull       0.83    5.74       0.09      43.5    4.25
97    TCBK   52.65   0.69   4.59       1.7      Financial Services                          Banks - Regional        5.61  64.2  Bull       0.25    7.60       0.02      43.5     NaN
98    SPNT   23.58   1.38  12.13       2.8      Financial Services                   Insurance - Reinsurance        5.40  61.5  Bull       0.17    5.08       0.07      43.3    4.00
