=== Stock Screener — 2026-06-17 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2775 stocks with market cap > $1B
  Top 5 by daily gain: SLBT(+167.0%), HONAV(+35.0%), WYFI(+18.9%), BVC(+18.2%), LION(+13.8%)
Screening 2775 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2475

  === Priority Tier ===
  Priority: 300/300 (197 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2475 (259 total passed)
  Remaining: 600/2475 (259 total passed)
  Remaining: 900/2475 (259 total passed)
  Remaining: 1200/2475 (259 total passed)
  Remaining: 1500/2475 (259 total passed)
  Remaining: 1800/2475 (259 total passed)
  Remaining: 2100/2475 (259 total passed)
  Remaining: 2400/2475 (259 total passed)
  Remaining: 2475/2475 (259 total passed)

  Final: 259 stocks passed all filters

================================================================================
  259 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
37     WIT     2.47   8.55  17.86      26.0              Technology           Information Technology Services       14.73  67.6  Bull       0.03   28.24       0.05      71.0    2.14
38    ETSY    74.50   1.97   8.35       7.1       Consumer Cyclical                           Internet Retail       17.23  73.9  Bull       0.51   26.64       0.05      70.7    3.43
39    REAL    11.95   5.57  25.26       1.4       Consumer Cyclical                              Luxury Goods       15.90  67.6  Bull       0.31   26.32       0.06      69.8    4.56
40     IFS    56.67   1.55   7.85       6.3      Financial Services                          Banks - Regional       16.35  68.5  Bull       0.70   26.08       0.02      69.4    4.33
41    KLIC   121.04   1.90  18.63       6.3              Technology       Semiconductor Equipment & Materials       25.00  71.7  Bull       0.93   23.99       0.04      69.3     NaN
42     SKY    83.60   3.56  11.27       4.6       Consumer Cyclical                  Residential Construction       10.07  66.9  Bull       1.12   28.15       0.03      68.5    4.17
43      GE   358.11   1.76  12.36     374.2             Industrials                       Aerospace & Defense       14.20  71.6  Bull       3.11   25.53       0.06      68.1    4.50
44     ELF    68.83   2.53  23.65       4.1      Consumer Defensive             Household & Personal Products       13.75  70.1  Bull       1.99   25.47       0.05      67.7    4.17
45     GHM   114.22   2.58  18.90       1.3             Industrials            Specialty Industrial Machinery       17.15  64.9  Bull       1.04   22.88       0.15      67.7    4.40
46     NPO   364.56   1.78  13.32       7.7             Industrials            Specialty Industrial Machinery       18.90  74.7  Bull       3.96   22.13       0.12      67.5     NaN
47    ALHC    20.43  -1.21   6.41       4.2              Healthcare                          Healthcare Plans       12.99  64.8  Bull       0.72   25.49       0.02      67.2    4.57
48     WWD   427.44   1.21  16.38      25.5             Industrials                       Aerospace & Defense       15.37  73.1  Bull       8.20   24.06       0.04      67.1    4.58
49      LC    19.33   3.59   9.58       2.2      Financial Services                          Banks - Regional       14.85  65.5  Bull       0.19   23.67       0.05      66.6    4.50
50     TLN   409.45   0.59  14.14      19.6               Utilities   Utilities - Independent Power Producers       12.98  63.1  Bull       1.94   26.29       0.06      66.4    4.47
51     TOL   155.64   0.99  12.05      14.5       Consumer Cyclical                  Residential Construction       10.44  68.3  Bull       1.93   25.37       0.03      65.8    4.11
52    AAMI    83.43  -0.12   8.02       3.0      Financial Services                          Asset Management       19.55  73.4  Bull       0.57   20.48       0.04      65.6    3.00
53     MTH    75.19   1.08   7.27       5.0       Consumer Cyclical                  Residential Construction       11.75  69.1  Bull       0.81   24.34       0.01      65.3    3.90
54    CRWV   121.49   3.49  27.06      66.2              Technology                 Software - Infrastructure       14.73  60.5  Bull       1.32   21.72       0.15      65.3    4.08
55    ROCK    42.53   2.56  13.44       1.3             Industrials             Building Products & Equipment        7.80  63.4  Bull       0.54   25.75       0.03      64.9     NaN
56    COMP     9.59   1.70  17.38       7.2             Real Estate                      Real Estate Services       15.52  65.5  Bull       0.14   21.24       0.04      64.3    4.25
57     XHR    19.69   0.48   6.63       1.9             Real Estate                      REIT - Hotel & Motel       15.05  77.3  Bull       0.14   20.31       0.03      63.1    4.33
58    FTAI   279.00   3.90  19.36      28.6             Industrials                       Aerospace & Defense       12.25  63.0  Bull       2.89   20.99       0.08      62.7     NaN
