Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
TNGX,30.71,-0.41,42.84,4.5,Healthcare,Biotechnology,40.01,68.9,Bull,0.96,30.79,0.19,76.6,4.5
GENI,6.99,6.15,14.78,1.9,Communication Services,Internet Content & Information,30.66,72.6,Bull,0.14,58.5,0.17,76.4,4.67
ARCB,170.1,1.86,19.92,3.8,Industrials,Trucking,36.16,86.9,Bull,3.67,43.77,0.14,76.2,3.92
APPS,10.09,6.8,18.01,1.2,Technology,Software - Application,81.91,82.1,Bull,0.32,152.88,0.13,76.1,5.0
HAE,77.55,4.5,16.84,3.5,Healthcare,Medical Devices,23.07,79.9,Bull,1.32,48.45,0.05,75.5,4.09
RXO,29.17,2.35,8.24,4.8,Industrials,Trucking,35.83,74.9,Bull,0.26,40.92,0.04,75.4,
KNX,81.57,-0.62,5.36,13.3,Industrials,Trucking,19.88,80.1,Bull,0.63,32.08,0.05,75.4,4.33
BTDR,19.03,4.1,1.44,4.6,Technology,Software - Application,34.39,65.0,Bull,0.16,44.5,0.03,75.3,
SNDR,38.79,-0.8,6.6,6.8,Industrials,Trucking,20.5,80.4,Bull,0.31,29.99,0.04,75.3,3.69
CVLG,45.0,1.06,7.55,1.1,Industrials,Trucking,27.7,88.3,Bull,0.48,38.26,0.03,75.2,
ALNT,88.84,2.6,4.0,1.5,Technology,Electronic Components,22.62,69.9,Bull,1.9,35.76,0.02,75.1,4.4
BHVN,11.82,7.45,16.67,1.8,Healthcare,Biotechnology,16.71,61.0,Bull,0.18,30.17,0.12,74.3,4.26
HTLD,16.32,0.87,5.15,1.3,Industrials,Trucking,22.04,78.3,Bull,0.1,28.81,0.02,74.0,
BBY,76.48,3.11,5.08,16.1,Consumer Cyclical,Specialty Retail,17.46,70.2,Bull,0.97,32.72,0.03,74.0,3.36
MMED,15.3,2.14,24.39,4.3,Healthcare,Medical Instruments & Supplies,14.81,71.3,Bull,0.52,37.1,0.07,73.0,4.75
DXCM,77.72,2.9,5.81,30.0,Healthcare,Medical Devices,14.88,72.3,Bull,0.55,31.0,0.03,72.7,4.67
CXW,25.27,2.12,18.38,2.5,Industrials,Security & Protection Services,20.26,76.3,Bull,0.38,27.14,0.06,72.6,5.0
OSCR,27.63,-0.11,30.7,8.3,Healthcare,Healthcare Plans,36.93,71.7,Bull,0.26,25.59,0.14,71.8,3.09
LSTR,225.48,0.05,5.89,7.7,Industrials,Integrated Freight & Logistics,20.35,81.8,Bull,2.3,26.3,0.03,71.5,3.0
WERN,44.75,0.54,4.09,2.7,Industrials,Trucking,19.61,83.7,Bull,0.22,26.38,0.03,71.2,2.93
GEO,26.85,0.71,14.84,3.6,Industrials,Security & Protection Services,26.52,79.4,Bull,0.24,25.41,0.07,71.0,
AVTR,9.96,5.51,10.79,6.8,Healthcare,Medical Instruments & Supplies,16.27,71.5,Bull,0.15,24.97,0.07,68.7,3.06
VNO,37.87,3.6,10.67,7.8,Real Estate,REIT - Office,20.36,79.4,Bull,0.36,22.0,0.13,68.1,3.38
SRAD,16.17,4.39,18.2,4.8,Technology,Software - Application,10.63,69.2,Bull,0.4,26.33,0.16,68.0,4.52
ALVO,4.29,-0.69,43.0,1.3,Healthcare,Drug Manufacturers - Specialty & Generic,19.8,66.9,Bull,0.11,19.5,0.42,67.9,4.0
KLAC,2238.86,6.36,9.47,292.5,Technology,Semiconductor Equipment & Materials,22.48,66.6,Bull,21.07,21.49,0.14,67.7,4.07
KSS,16.4,1.41,3.47,1.9,Consumer Cyclical,Department Stores,13.73,63.8,Bull,0.35,25.29,0.05,67.6,2.85
APH,153.73,6.98,3.59,189.1,Technology,Electronic Components,10.69,63.0,Bull,1.6,25.52,0.17,67.3,4.44
CRS,521.01,4.2,6.93,25.9,Industrials,Metal Fabrication,18.57,74.1,Bull,5.83,21.43,0.08,66.4,4.67
TFII,166.84,2.1,5.16,13.7,Industrials,Trucking,18.87,80.1,Bull,0.92,21.4,0.04,66.2,4.17
HYLN,6.9,-4.88,1.56,1.2,Consumer Cyclical,Auto Parts,64.84,65.1,Bull,0.02,149.86,0.12,66.0,
CVCO,586.71,4.32,7.47,4.5,Consumer Cyclical,Residential Construction,12.7,72.7,Bull,7.3,21.99,0.21,65.1,4.67
AMAT,521.85,5.97,6.49,414.3,Technology,Semiconductor Equipment & Materials,23.23,67.8,Bull,4.57,17.78,0.12,63.8,4.5
CVLT,123.39,2.82,1.04,5.1,Technology,Software - Application,18.26,71.7,Bull,0.68,18.64,0.11,63.7,4.24
BWA,74.78,-1.34,0.94,15.3,Consumer Cyclical,Auto Parts,18.2,65.9,Bull,0.37,18.69,0.08,62.6,3.87
ABSI,6.76,3.13,6.38,1.1,Healthcare,Biotechnology,34.6,61.3,Bull,0.05,16.87,0.05,62.3,4.64
ASML,1818.98,4.21,6.66,701.1,Technology,Semiconductor Equipment & Materials,18.22,67.2,Bull,14.31,16.17,0.23,62.2,4.52
SHOO,46.18,1.94,4.81,3.4,Consumer Cyclical,Footwear & Accessories,15.06,74.2,Bull,0.28,19.31,0.04,62.1,4.0
PRKS,43.14,3.55,7.26,2.0,Consumer Cyclical,Leisure,16.43,68.2,Bull,0.42,18.09,0.03,61.5,
SLG,51.12,5.17,13.24,3.9,Real Estate,REIT - Office,17.87,74.8,Bull,0.58,15.59,0.19,61.1,3.67
CRI,40.12,2.44,0.79,1.5,Consumer Cyclical,Apparel Retail,9.18,61.8,Bull,0.19,23.39,0.02,60.5,
VGNT,50.19,4.56,11.14,3.6,Consumer Cyclical,Auto Parts,25.17,69.4,Bull,0.32,14.8,0.01,59.9,4.33
UHAL,60.63,1.84,7.78,11.5,Industrials,Rental & Leasing Services,14.88,70.7,Bull,0.69,16.73,0.05,59.6,3.0
FTRE,17.13,0.98,11.52,1.6,Healthcare,Biotechnology,27.29,69.3,Bull,0.16,14.28,0.04,59.6,3.67
GIII,35.42,-0.49,8.73,1.5,Consumer Cyclical,Apparel Manufacturing,14.23,71.8,Bull,0.39,17.07,0.03,59.5,4.33
JEF,59.79,3.0,10.23,12.2,Financial Services,Capital Markets,17.61,79.4,Bull,0.47,14.92,0.05,59.2,4.0
BFLY,4.96,5.98,8.3,1.3,Healthcare,Medical Devices,10.7,56.8,Bull,0.06,18.1,0.06,58.9,
ETSY,70.03,2.99,0.43,6.6,Consumer Cyclical,Internet Retail,13.01,65.5,Bull,0.43,16.99,0.04,58.8,3.43
BIRK,45.39,3.63,4.56,8.3,Consumer Cyclical,Footwear & Accessories,14.32,63.6,Bull,0.4,15.94,0.01,58.2,4.62
FLUT,111.52,6.21,9.34,19.3,Consumer Cyclical,Gambling,5.48,66.4,Bull,1.69,18.69,0.18,57.9,4.31
FUN,22.89,4.76,10.58,2.3,Consumer Cyclical,Leisure,16.6,64.9,Bull,0.17,13.6,0.05,57.3,
DUOL,121.65,3.88,10.64,5.7,Technology,Software - Application,11.18,64.1,Bull,0.78,15.69,0.11,57.2,3.17
ALAB,365.26,5.57,2.67,62.6,Technology,Semiconductors,48.28,68.1,Bull,0.8,76.15,0.08,56.1,4.12
FLR,51.08,4.24,3.53,7.1,Industrials,Engineering & Construction,7.2,59.6,Bull,0.59,16.91,0.06,56.0,
IDYA,30.78,6.59,10.44,2.7,Healthcare,Biotechnology,2.47,57.2,Bull,0.29,9.42,1.14,55.1,4.61
KRC,38.5,1.61,10.22,4.5,Real Estate,REIT - Office,14.35,75.5,Bull,0.3,12.38,0.04,54.9,3.0
PDFS,60.0,6.38,8.15,2.5,Technology,Software - Application,30.77,67.9,Bull,0.79,8.91,0.08,54.6,5.0
BXP,66.34,2.87,8.38,11.8,Real Estate,REIT - Office,11.96,76.2,Bull,0.45,12.56,0.1,54.4,3.82
XPO,229.34,1.21,5.72,26.9,Industrials,Trucking,9.73,66.2,Bull,1.91,13.76,0.01,53.7,4.17
ALX,268.3,2.79,8.7,1.4,Real Estate,REIT - Retail,10.02,71.1,Bull,2.28,13.35,0.03,53.6,
VECO,71.28,15.51,16.83,4.4,Technology,Semiconductor Equipment & Materials,35.46,69.2,Bull,0.23,16.45,0.58,53.4,
CRL,190.07,2.12,8.74,9.2,Healthcare,Diagnostics & Research,9.8,64.2,Bull,2.86,12.83,0.02,52.9,4.29
ANF,83.9,5.53,9.77,3.7,Consumer Cyclical,Apparel Retail,1.97,58.4,Bull,1.14,16.0,0.07,52.6,4.0
SUNB,83.11,1.35,8.74,34.3,Industrials,Rental & Leasing Services,10.44,64.8,Bull,0.37,15.54,0.12,52.6,3.71
AEO,17.93,2.99,11.78,3.0,Consumer Cyclical,Apparel Retail,3.16,59.2,Bull,0.2,15.53,0.03,52.4,3.08
WIT,2.21,2.55,0.23,23.2,Technology,Information Technology Services,4.11,56.4,Bull,0.01,16.58,0.05,51.8,2.14
HRI,147.99,1.76,15.39,4.9,Industrials,Rental & Leasing Services,14.35,64.5,Bull,0.77,9.28,0.04,51.8,4.2
DAVE,280.18,4.23,5.0,3.6,Technology,Software - Application,14.68,60.4,Bull,1.25,12.33,0.04,51.3,4.58
RGEN,129.79,4.73,7.15,7.3,Healthcare,Medical Instruments & Supplies,7.33,62.6,Bull,1.63,11.98,0.08,51.3,4.45
MOH,201.21,1.12,11.87,10.5,Healthcare,Healthcare Plans,14.03,66.9,Bull,1.17,8.65,0.07,51.3,3.33
LIF,48.12,4.59,2.38,3.9,Technology,Software - Application,8.77,61.4,Bull,0.72,11.18,0.05,51.0,
MLCO,5.99,1.61,4.26,2.3,Consumer Cyclical,Resorts & Casinos,5.31,64.2,Bull,0.05,12.9,0.05,51.0,4.17
PGY,15.82,2.73,3.47,1.3,Technology,Software - Infrastructure,12.28,59.6,Bull,0.16,8.8,0.12,50.9,4.8
BMI,132.57,1.68,5.52,3.9,Technology,Scientific & Technical Instruments,1.9,60.3,Bull,1.66,14.01,0.03,50.2,3.77
KTB,75.0,3.45,7.73,4.1,Consumer Cyclical,Apparel Manufacturing,7.63,60.7,Bull,0.58,10.28,0.05,49.5,
CPRI,19.69,1.7,7.71,2.3,Consumer Cyclical,Luxury Goods,3.73,59.6,Bull,0.19,11.62,0.07,49.0,3.94
TREX,43.24,4.07,3.97,4.5,Industrials,Building Products & Equipment,8.45,62.0,Bull,0.25,9.47,0.03,48.9,3.9
DAN,37.17,1.35,1.65,4.0,Consumer Cyclical,Auto Parts,6.65,59.0,Bull,0.25,9.76,0.02,48.3,
HUBG,45.15,1.21,3.26,2.8,Industrials,Integrated Freight & Logistics,9.11,63.2,Bull,0.36,8.17,0.02,47.9,3.5
MMSI,66.95,0.61,9.95,4.0,Healthcare,Medical Instruments & Supplies,1.63,59.5,Bull,0.62,11.01,0.09,47.6,4.18
NWL,4.26,1.43,30.67,1.8,Consumer Defensive,Household & Personal Products,11.06,62.8,Bull,0.09,6.5,0.06,47.6,
ADEA,32.66,2.8,6.52,3.6,Technology,Software - Application,16.23,59.9,Bull,0.4,2.77,0.16,47.3,
WSBC,36.04,1.81,5.41,3.5,Financial Services,Banks - Regional,5.62,64.9,Bull,0.23,8.84,0.08,47.3,
UPBD,19.54,3.11,5.0,1.1,Technology,Software - Application,5.49,60.6,Bull,0.12,8.62,0.06,46.9,4.57
IVT,34.41,-1.57,4.59,2.7,Real Estate,REIT - Retail,7.02,69.9,Bull,0.16,9.9,0.05,46.1,4.25
PINS,22.0,0.11,5.44,12.3,Communication Services,Internet Content & Information,8.76,62.4,Bull,0.22,6.0,0.06,45.8,3.95
AAP,58.86,1.08,2.1,3.6,Consumer Cyclical,Auto Parts,6.41,56.4,Bull,0.24,13.56,0.02,45.6,3.08
EBC,20.89,1.9,6.41,4.5,Financial Services,Banks - Regional,5.6,64.2,Bull,0.14,7.11,0.08,45.6,
XPRO,17.08,0.83,11.05,1.9,Energy,Oil & Gas Equipment & Services,4.72,57.1,Bull,0.19,7.69,0.02,45.2,3.6
ALGN,176.97,3.2,6.17,12.7,Healthcare,Medical Instruments & Supplies,3.44,58.2,Bull,1.59,7.51,0.02,44.4,4.12
CART,42.86,0.85,5.2,10.1,Consumer Cyclical,Internet Retail,5.57,57.9,Bull,0.23,6.06,0.04,44.1,3.97
EAT,148.63,2.35,7.55,6.4,Consumer Cyclical,Restaurants,4.49,58.1,Bull,1.39,6.46,0.02,43.9,4.38
MUR,39.6,-1.59,4.32,5.7,Energy,Oil & Gas E&P,3.9,54.7,Bull,0.26,6.18,0.03,43.4,3.19
KEEL,6.24,9.39,1.55,3.8,Technology,Information Technology Services,49.17,69.0,Bull,0.0,45.0,0.29,42.7,4.67
RRX,218.07,3.84,1.91,14.5,Industrials,Specialty Industrial Machinery,6.96,58.1,Bull,1.3,3.19,0.06,42.2,4.6
