=== Stock Screener — 2026-06-08 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2740 stocks with market cap > $1B
  Top 5 by daily gain: COO(+8.6%), GSHD(+7.1%), ABM(+6.7%), FDXF(+6.4%), KMB(+6.3%)
Screening 2740 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2440

  === Priority Tier ===
  Priority: 300/300 (125 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2440 (171 total passed)
  Remaining: 600/2440 (171 total passed)
  Remaining: 900/2440 (171 total passed)
  Remaining: 1200/2440 (171 total passed)
  Remaining: 1500/2440 (171 total passed)
  Remaining: 1800/2440 (171 total passed)
  Remaining: 2100/2440 (171 total passed)
  Remaining: 2400/2440 (171 total passed)
  Remaining: 2440/2440 (171 total passed)

  Final: 171 stocks passed all filters

================================================================================
  171 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
37     EIX    73.33   0.39   6.14      28.2               Utilities            Utilities - Regulated Electric        4.34  62.5  Bull       0.35    6.36       0.02      41.7     NaN
38    RELX    34.66  -0.52   0.17      61.1             Industrials               Specialty Business Services        2.31  55.4  Bull       0.23    3.22       0.24      41.4     NaN
39     PCG    16.94  -0.76   4.89      37.3               Utilities            Utilities - Regulated Electric        1.09  55.7  Bull       0.11    5.41       0.03      41.2     NaN
40     TJX   160.01   0.10   4.75     176.8       Consumer Cyclical                            Apparel Retail        2.71  59.4  Bull       0.80    4.67       0.04      41.2    4.62
41     AGL    96.30  -0.20   4.06       1.6              Healthcare                   Medical Care Facilities       65.38  72.2  Bear      -0.94   77.58       0.04      40.3    3.35
42    SAFE    15.55   0.45   5.85       1.1             Real Estate                        REIT - Diversified        4.31  59.0  Bull       0.09    2.78       0.03      40.2    3.55
43     VVV    35.92   2.63   7.45       4.6       Consumer Cyclical                  Auto & Truck Dealerships        5.90  62.9  Bull       0.28    0.84       0.02      39.0    4.33
44    STRA    81.20  -1.38   2.28       1.8      Consumer Defensive             Education & Training Services        2.60  59.0  Bull       0.42    2.05       0.01      38.4    4.00
45      LH   264.58  -0.22   3.00      21.7              Healthcare                    Diagnostics & Research        1.36  58.3  Bull       1.25    4.40       0.02      38.3    4.42
46     DGX   198.88  -0.40   3.47      22.0              Healthcare                    Diagnostics & Research        2.47  59.2  Bull       0.87    6.13       0.02      38.2    3.89
47     IVT    34.24  -0.20   5.97       2.7             Real Estate                             REIT - Retail        6.81  68.8  Bull       0.12    9.25       0.17      37.8    4.25
48   RUSHB    67.89   1.33   5.66       5.3       Consumer Cyclical                  Auto & Truck Dealerships        2.00  55.5  Bull       0.38   -0.73       0.05      36.4     NaN
49     PPG   112.44   0.77   0.33      25.1         Basic Materials                       Specialty Chemicals        3.11  56.6  Bull       0.50    3.26       0.03      36.4    3.78
50     MAC    23.58   1.46   5.65       7.0             Real Estate                             REIT - Retail        9.03  66.7  Bull       0.08    7.82       0.02      36.1    3.88
51     POR    50.72   1.44   4.64       5.9               Utilities            Utilities - Regulated Electric        0.97  55.3  Bull       0.21    4.56       0.01      33.9    3.15
52     SFD    26.60  -2.39   2.19      10.5      Consumer Defensive                            Packaged Foods        2.10  54.6  Bull       0.11    3.79       0.02      33.8    4.43
53     CFR   141.65   1.06   6.67       8.9      Financial Services                          Banks - Regional        2.99  60.0  Bull       0.59    2.79       0.03      33.7    3.20
54    OSCR    25.85   6.57  12.56       7.8              Healthcare                          Healthcare Plans       30.50  67.7  Bear      -0.02   21.33       0.20      33.0    3.09
55    CENT    40.16   1.47   4.37       2.5      Consumer Defensive                            Packaged Foods        5.95  62.7  Bull       0.09    4.23       0.99      31.3     NaN
56     RHP   119.45   1.02   3.79       7.5             Real Estate                      REIT - Hotel & Motel       11.31  74.7  Bull       0.30    8.05       0.01      31.3    4.73
57    BHRB    65.16   1.04   3.48       1.3      Financial Services                          Banks - Regional        2.95  60.3  Bull       0.24    3.01       0.02      30.0     NaN
58     KTB    72.21   3.05   0.92       4.0       Consumer Cyclical                     Apparel Manufacturing        3.12  54.8  Bull       0.28   -1.96       0.09      29.8     NaN
59     SKT    37.12  -0.81   4.81       4.3             Real Estate                             REIT - Retail        3.71  59.8  Bull       0.13    2.08       0.02      28.8    3.42
60     JNJ   233.70   0.74   4.56     562.6              Healthcare              Drug Manufacturers - General        1.98  59.1  Bull       0.71    6.20       0.05      28.7    4.00
61     AON   327.83  -0.22   2.32      70.0      Financial Services                         Insurance Brokers        1.96  58.1  Bull       1.04    4.81       0.03      28.3    4.00
62     AVA    42.47  -1.23   4.86       3.5               Utilities                   Utilities - Diversified        4.19  61.1  Bull       0.12    5.30       0.02      27.3    3.14
63    MGEE    76.86   0.81   5.82       2.9               Utilities            Utilities - Regulated Electric        0.73  55.0  Bull       0.23    5.02       0.05      26.7    2.33
64    CCEP    94.60   0.42   5.47      41.9      Consumer Defensive                 Beverages - Non-Alcoholic        1.20  55.4  Bull       0.33    1.10       0.06      26.4    4.18
65    GABC    44.88  -0.49   3.91       1.7      Financial Services                          Banks - Regional        4.62  62.2  Bull       0.13    2.96       0.04      26.0     NaN
66    TILE    30.33   0.61   3.74       1.8       Consumer Cyclical        Furnishings, Fixtures & Appliances        6.39  61.5  Bull       0.09    2.35       0.01      25.6    4.67
67     SSL    13.64   1.26   6.65       8.7         Basic Materials                       Specialty Chemicals        8.05  57.8  Bull       0.03    5.25       0.14      25.1     NaN
68     SYY    76.49   1.04   3.76      36.6      Consumer Defensive                         Food Distribution        1.10  56.7  Bull       0.20    5.59       0.03      25.0    3.88
69    REYN    22.35   1.31   4.63       4.7       Consumer Cyclical                    Packaging & Containers        3.42  61.7  Bull       0.06    3.24       0.02      24.2     NaN
70     PGR   201.38  -0.08   4.52     117.5      Financial Services           Insurance - Property & Casualty        0.90  54.3  Bull       0.56    3.80       0.03      24.1    3.40
71     UNM    86.89  -1.00   4.15      13.9      Financial Services                          Insurance - Life        7.84  71.6  Bull       0.15    7.43       0.03      23.8    4.23
72     WRB    67.53  -1.40   4.94      25.1      Financial Services           Insurance - Property & Casualty        1.25  55.0  Bull       0.18    2.82       0.07      22.7    2.78
73    PRCT    28.52   3.07   2.37       1.6              Healthcare                           Medical Devices        7.95  58.2  Bull       0.02   12.28       0.06      22.2    4.00
74     KDP    30.72   0.95   1.72      41.8      Consumer Defensive                 Beverages - Non-Alcoholic        6.64  67.4  Bull       0.05    6.56       0.04      21.4    3.94
75    CBSH    53.38   0.62   4.30       7.8      Financial Services                          Banks - Regional        4.05  63.5  Bull       0.12    3.41       0.05      21.1     NaN
76    RPRX    55.96  -0.07   1.41      32.2              Healthcare                             Biotechnology        9.33  69.2  Bull       0.04   10.67       0.09      20.7    4.50
77     DTE   145.29  -0.02   3.91      30.2               Utilities            Utilities - Regulated Electric        0.97  53.8  Bull       0.34    3.34       0.02      20.3    4.18
