Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
HPE,58.42,24.3,53.49,77.5,Technology,Communication Equipment,84.25,91.8,Bull,1.96,103.48,1.27,85.6,3.74
MRVL,273.8,24.78,31.47,239.5,Technology,Semiconductors,69.67,84.2,Bull,5.41,67.3,0.99,83.2,4.59
HIVE,4.8,0.84,17.07,1.2,Financial Services,Capital Markets,55.03,80.2,Bull,0.12,84.61,0.43,78.6,4.71
ZETA,25.08,-0.54,27.66,6.3,Technology,Software - Infrastructure,35.72,79.4,Bull,0.78,35.89,0.38,78.2,4.57
OKTA,131.72,-5.77,40.41,22.9,Technology,Software - Infrastructure,51.4,77.6,Bull,5.28,70.53,0.32,77.6,4.33
ORCL,246.78,-0.55,27.83,709.8,Technology,Software - Infrastructure,34.06,79.6,Bull,5.27,36.88,0.31,77.6,4.49
FLNC,28.9,6.43,35.47,5.3,Utilities,Utilities - Renewable,56.56,71.3,Bull,0.61,134.35,0.31,77.6,3.25
GTLB,33.24,-1.63,24.17,5.6,Technology,Software - Infrastructure,30.02,74.9,Bull,0.86,35.18,0.3,77.5,3.48
SMCI,49.06,4.65,32.24,29.5,Technology,Computer Hardware,49.96,82.1,Bull,1.56,75.72,0.28,77.3,3.17
AMC,1.98,-6.84,24.21,1.5,Communication Services,Entertainment,31.54,67.7,Bull,0.06,36.21,0.28,77.3,3.29
INFQ,19.23,8.72,21.11,4.2,Technology,Software - Infrastructure,39.9,66.9,Bull,0.6,56.61,0.28,77.3,5.0
NOW,129.3,-4.83,29.4,133.4,Technology,Software - Application,25.01,70.5,Bull,4.17,40.59,0.27,77.2,4.56
DELL,456.74,-1.98,49.71,296.7,Technology,Computer Hardware,86.87,87.8,Bull,21.19,115.81,0.26,77.2,4.12
BB,9.56,-1.59,13.6,5.6,Technology,Software - Infrastructure,59.58,87.5,Bull,0.26,71.42,0.24,77.0,3.0
IBM,323.83,1.06,29.18,304.4,Technology,Information Technology Services,30.26,84.8,Bull,11.0,42.15,0.23,76.9,4.0
BRUN,36.55,-6.76,28.56,2.2,Technology,Software - Infrastructure,74.93,71.9,Bull,1.1,95.04,0.22,76.9,
PURR,10.79,-0.74,27.69,1.6,Financial Services,Capital Markets,55.87,76.9,Bull,0.33,69.12,0.23,76.9,4.67
ARM,394.12,-3.6,22.69,421.0,Technology,Semiconductors,72.99,77.6,Bull,14.24,93.9,0.23,76.9,4.12
PENG,69.92,17.1,27.24,3.7,Technology,Information Technology Services,81.36,89.8,Bull,1.18,115.8,0.21,76.7,4.43
ONDS,13.35,-0.85,36.59,6.7,Technology,Communication Equipment,28.74,68.5,Bull,0.47,37.15,0.2,76.7,4.75
RCAT,15.08,1.62,54.35,2.3,Industrials,Aerospace & Defense,27.42,70.7,Bull,0.78,37.09,0.19,76.6,4.83
MGM,49.64,-2.07,29.1,12.7,Consumer Cyclical,Resorts & Casinos,27.13,79.7,Bull,1.38,29.81,0.21,76.6,3.7
RBRK,82.71,-2.77,21.08,17.0,Technology,Software - Infrastructure,34.73,75.4,Bull,1.82,42.78,0.19,76.6,4.9
KEEL,6.33,3.77,23.39,3.8,Technology,Information Technology Services,65.51,83.9,Bull,0.14,94.77,0.19,76.6,4.67
HPQ,28.95,-1.33,18.5,26.5,Technology,Computer Hardware,32.55,77.2,Bull,0.73,39.18,0.17,76.5,2.76
SNOW,263.52,-5.94,48.38,91.3,Technology,Software - Application,51.25,79.1,Bull,12.58,82.74,0.18,76.5,4.51
CIFR,25.88,7.79,12.42,10.6,Technology,Information Technology Services,32.09,67.9,Bull,0.34,44.66,0.17,76.4,4.67
NBIS,275.3,4.08,32.32,69.9,Communication Services,Internet Content & Information,56.39,75.9,Bull,4.89,56.05,0.17,76.4,4.0
DDOG,267.67,-3.54,19.68,95.3,Technology,Software - Application,51.45,82.8,Bull,4.21,82.47,0.17,76.4,4.56
MDB,395.69,-2.03,28.74,31.9,Technology,Software - Infrastructure,31.15,72.3,Bull,7.35,49.49,0.16,76.3,4.38
CMPS,13.81,-2.64,13.01,1.9,Healthcare,Medical Care Facilities,45.47,73.3,Bull,0.23,45.12,0.15,76.3,4.67
CMP,33.72,0.63,6.98,1.4,Basic Materials,Other Industrial Metals & Mining,21.63,73.6,Bull,0.29,32.5,0.14,76.2,4.0
SAIL,18.7,-2.86,17.83,10.6,Technology,Software - Infrastructure,32.23,77.6,Bull,0.56,53.91,0.14,76.2,4.42
PANW,295.43,-1.68,15.07,239.2,Technology,Software - Infrastructure,39.13,79.9,Bull,4.41,60.07,0.14,76.2,4.41
FROG,86.1,-2.51,17.92,10.4,Technology,Software - Application,42.53,76.2,Bull,1.26,63.74,0.14,76.2,4.67
CORZ,30.13,5.53,14.26,9.6,Technology,Software - Infrastructure,35.93,75.9,Bull,0.39,42.8,0.15,76.2,4.67
CRWD,768.0,-1.81,14.36,195.5,Technology,Software - Infrastructure,41.95,82.3,Bull,13.17,63.67,0.14,76.2,4.31
CEVA,46.17,3.25,10.47,1.3,Technology,Semiconductors,44.72,76.8,Bull,0.28,41.92,0.15,76.2,
SHAZ,83.31,4.72,28.17,1.4,Technology,Information Technology Services,68.86,79.7,Bull,2.07,86.66,0.14,76.2,5.0
HUT,139.26,5.2,23.74,15.7,Financial Services,Capital Markets,55.81,79.7,Bull,2.44,78.36,0.14,76.2,4.69
HBM,31.47,2.88,18.53,12.5,Basic Materials,Copper,26.23,73.7,Bull,0.6,44.56,0.14,76.1,4.65
BTDR,18.83,1.73,24.62,4.6,Technology,Software - Application,43.44,71.7,Bull,0.45,54.85,0.13,76.1,4.55
IMSR,9.65,1.69,16.69,1.3,Utilities,Utilities - Regulated Electric,27.91,66.4,Bull,0.25,33.29,0.13,76.1,
ASPI,8.06,0.69,16.38,1.0,Basic Materials,Chemicals,38.59,70.3,Bull,0.26,56.3,0.12,76.0,5.0
