=== Stock Screener — 2026-06-18 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2763 stocks with market cap > $1B
  Top 5 by daily gain: QURE(+78.4%), HQ(+26.3%), BRAI(+25.0%), RXT(+21.3%), LZB(+14.8%)
Screening 2763 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2463

  === Priority Tier ===
  Priority: 300/300 (204 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2463 (274 total passed)
  Remaining: 600/2463 (274 total passed)
  Remaining: 900/2463 (274 total passed)
  Remaining: 1200/2463 (274 total passed)
  Remaining: 1500/2463 (274 total passed)
  Remaining: 1800/2463 (274 total passed)
  Remaining: 2100/2463 (274 total passed)
  Remaining: 2400/2463 (274 total passed)
  Remaining: 2463/2463 (274 total passed)

  Final: 274 stocks passed all filters

================================================================================
  274 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%   Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
37    CDNL    74.58  -0.41   14.23       1.1             Industrials                Engineering & Construction       35.41  73.0  Bull       1.41   43.09       0.06      75.5    5.00
38     NWL     5.00   0.40    8.23       2.1      Consumer Defensive             Household & Personal Products       22.68  71.1  Bull       0.14   44.48       0.05      75.4     NaN
39    NWPX   140.73   1.27    8.91       1.4         Basic Materials                                     Steel       27.32  79.9  Bull       1.08   28.49       0.22      75.3    3.00
40     BMA   100.18  -0.51    2.33       6.4      Financial Services                          Banks - Regional       20.12  69.8  Bull       1.02   39.76       0.02      75.2    4.56
41    ALGM    57.24   3.26   19.35      10.7              Technology                            Semiconductors       24.13  63.8  Bull       0.60   29.12       0.10      74.9    4.75
42     FUN    25.23   0.96    3.44       2.6       Consumer Cyclical                                   Leisure       21.75  70.0  Bull       0.32   28.92       0.10      74.8    4.25
43    AVAL     5.59   0.14    3.86       6.6      Financial Services                          Banks - Regional       17.56  70.0  Bull       0.06   32.49       0.08      74.5     NaN
44    CAKE    77.56   2.66    3.44       3.9       Consumer Cyclical                               Restaurants       19.56  76.3  Bull       0.92   28.62       0.10      74.2    3.35
45    ENTG   164.82   3.71   13.73      25.1              Technology       Semiconductor Equipment & Materials       18.26  63.1  Bull       3.04   29.07       0.11      74.1     NaN
46    GGAL    56.23   1.22    1.48       9.5      Financial Services                          Banks - Regional       17.69  69.8  Bull       0.60   33.82       0.01      74.0    4.00
47    TTMI   215.88   4.20   15.31      22.4              Technology                     Electronic Components       31.58  67.6  Bull       1.83   27.47       0.11      73.4    4.75
48    DNLI    24.01   0.57   14.25       3.8              Healthcare                             Biotechnology       18.18  71.3  Bull       0.40   27.54       0.21      73.4    4.84
49     TXG    33.85   3.60   16.54       4.3              Healthcare               Health Information Services       29.29  68.5  Bull       0.16   41.18       0.07      73.3    3.69
50    HROW    41.77  -0.29   10.94       1.6              Healthcare  Drug Manufacturers - Specialty & Generic       13.73  69.1  Bull       1.01   35.35       0.16      73.2    5.00
51     APH   163.41   0.47    7.18     201.3              Technology                     Electronic Components       14.03  68.0  Bull       1.77   32.80       0.13      73.1    4.44
52    IMAX    44.60   0.70    5.89       2.5  Communication Services                             Entertainment       14.90  74.5  Bull       0.45   30.33       0.07      73.0    4.64
53    AKTS    23.99  -2.08   23.28       1.3              Healthcare                             Biotechnology       20.39  67.0  Bull       0.47   26.06       0.20      72.8    4.86
54    ARQT    26.39   0.66    7.34       3.3              Healthcare                             Biotechnology       14.47  72.6  Bull       0.57   28.94       0.16      72.5    4.50
55    MKSI   392.50   4.31   13.66      26.5              Technology        Scientific & Technical Instruments       26.82  71.8  Bull       5.21   26.09       0.11      72.0     NaN
56    TVTX    54.64   1.19   11.72       5.1              Healthcare                             Biotechnology       24.20  71.8  Bull       0.64   25.64       0.14      71.8    4.73
57    AEHR   114.93   0.20   11.55       3.6              Technology       Semiconductor Equipment & Materials       26.60  58.7  Bull       0.50   39.58       0.12      71.3    4.50
58    ERAS    14.45   3.29    3.14       4.5              Healthcare                             Biotechnology        9.24  58.5  Bull       0.22   29.95       0.15      70.8    4.40
59     NPO   374.88   3.13   11.90       7.9             Industrials            Specialty Industrial Machinery       21.22  77.4  Bull       4.75   22.85       0.32      70.6     NaN
60    PRCH    12.04  -2.11   23.87       1.3      Financial Services           Insurance - Property & Casualty       23.57  68.7  Bull       0.20   23.61       0.16      70.0    4.88
61    BJRI    54.32   3.55    4.82       1.1       Consumer Cyclical                               Restaurants       23.10  77.6  Bull       0.65   23.82       0.12      69.8     NaN
62    RLAY    16.22   4.21   13.87       3.5              Healthcare                             Biotechnology       18.95  65.7  Bull       0.17   24.54       0.08      69.7    4.83
63     AIR   134.68   0.77    5.86       5.4             Industrials                       Aerospace & Defense       15.98  71.6  Bull       2.10   25.28       0.17      69.7    4.57
64    EQPT    25.56   3.99   31.21       6.5             Industrials                 Rental & Leasing Services       15.97  66.0  Bull       0.56   25.05       0.19      69.6     NaN
65    SYRE    88.67   3.41    9.78       7.7              Healthcare                             Biotechnology       25.16  69.7  Bull       1.21   23.29       0.15      69.6    5.00
66    ASML  1916.98   0.42    0.92     738.8              Technology       Semiconductor Equipment & Materials       18.73  65.1  Bull      11.75   23.67       0.17      69.5    4.52
67     WWD   441.09   1.17   13.62      26.3             Industrials                       Aerospace & Defense       18.08  75.9  Bull       9.48   23.88       0.17      69.3    4.58
68     AIP    42.88   1.62   14.94       2.0              Technology                            Semiconductors       32.35  67.5  Bull       0.35   22.70       0.07      68.3     NaN
69    BEAM    33.90   0.91   15.28       3.5              Healthcare                             Biotechnology       13.83  61.4  Bull       0.28   25.06       0.15      68.2    4.71
70     EAT   164.82   7.36    3.84       7.1       Consumer Cyclical                               Restaurants       12.86  65.9  Bull       2.21   25.64       0.10      67.9    4.38
71    ABSI     7.36   1.14   12.98       1.1              Healthcare                             Biotechnology       33.91  63.3  Bull       0.03   48.59       0.14      67.5    4.64
72    VSEC   212.52  -0.58   10.02       6.0             Industrials                       Aerospace & Defense       13.38  66.3  Bull       4.10   24.65       0.12      67.4    4.89
73    ENVA   199.91   1.22    5.44       5.0      Financial Services                           Credit Services       18.46  78.1  Bull       3.06   21.46       0.16      67.0     NaN
74     GHM   116.70  -1.37   13.30       1.4             Industrials            Specialty Industrial Machinery       18.70  66.7  Bull       1.40   21.59       0.08      66.6    4.40
75    OCUL     9.92   4.97   14.02       2.2              Healthcare                             Biotechnology       10.65  65.2  Bull       0.16   23.54       0.30      66.4    4.64
76    TRVI    16.66  -0.54   23.77       2.4              Healthcare                             Biotechnology       19.37  73.0  Bull       0.31   20.03       0.16      66.1     NaN
77    MNKD     3.96   2.19    5.73       1.2              Healthcare                             Biotechnology       15.56  64.9  Bull       0.03   22.00       0.15      66.0     NaN
78    LGND   265.88   1.04    4.44       5.3              Healthcare                             Biotechnology       14.86  76.8  Bull       2.44   22.10       0.16      65.9     NaN
79    NUVB     5.55   5.92   16.60       1.9              Healthcare                             Biotechnology       13.49  65.3  Bull       0.07   23.06       0.13      65.9    4.60
80    ORKA    72.68   1.35    6.15       4.4              Healthcare                             Biotechnology       18.87  64.4  Bull       1.23   19.80       0.19      65.8    4.85
81    NUTX   148.00   1.11    0.67       1.0              Healthcare                   Medical Care Facilities       15.57  64.6  Bull       1.16   21.77       0.09      65.3     NaN
82     GRC    87.57   3.01    5.73       2.3             Industrials            Specialty Industrial Machinery       16.31  73.9  Bull       0.90   20.27       0.22      65.3     NaN
83      GE   361.55   0.80    8.65     377.8             Industrials                       Aerospace & Defense       14.60  72.7  Bull       3.45   20.45       0.22      64.6    4.50
84      CR   212.00   1.16    3.89      12.2             Industrials            Specialty Industrial Machinery       12.57  75.1  Bull       2.22   22.43       0.10      64.5    4.67
85    AGIO    33.91   2.51   18.07       2.0              Healthcare                             Biotechnology       16.02  70.1  Bull       0.63   18.98       0.28      64.3    4.40
86    KRYS   355.93   2.28   10.69      10.5              Healthcare                             Biotechnology       19.14  75.7  Bull       3.70   17.84       0.21      64.1    4.82
87   BELFB   307.24   2.47    3.60       4.4              Technology                     Electronic Components       14.54  63.9  Bull       2.47   20.60       0.12      63.9    4.71
88    RARE    27.91   3.72   16.39       2.7              Healthcare                             Biotechnology       16.18  68.1  Bull       0.56   19.43       0.16      63.9    4.53
89    GOLF   106.40   5.87    7.00       6.2       Consumer Cyclical                                   Leisure       14.20  77.0  Bull       1.62   19.75       0.18      63.4     NaN
90    GPCR    45.85   0.80    5.88       3.3              Healthcare                             Biotechnology        4.49  66.0  Bull       1.00   24.34       0.17      63.0    4.62
91    TSHA     6.53   7.58   17.03       1.9              Healthcare                             Biotechnology       13.80  63.3  Bull       0.09   18.94       0.25      62.9    4.77
92    FTAI   287.35   2.63   19.06      29.5             Industrials                       Aerospace & Defense       14.58  65.8  Bull       4.94   19.81       0.06      62.6     NaN
93    VIRT    62.08   1.83   11.97      13.4      Financial Services                           Capital Markets       20.31  77.8  Bull       0.88   16.00       0.08      61.7    3.43
94     AGX   741.79   2.32   18.94      10.4             Industrials                Engineering & Construction       16.17  63.9  Bull       7.73   17.65       0.09      61.4    3.60
95    CALY    18.16   5.28    8.16       3.3       Consumer Cyclical                                   Leisure       16.99  70.7  Bull       0.22   16.71       0.14      61.4    3.82
96    HTFL    32.90   0.15    7.27       2.8              Healthcare               Health Information Services       11.29  61.3  Bull       0.38   20.16       0.06      61.3    4.43
97     TNL    77.41   1.95    6.04       4.8       Consumer Cyclical                           Travel Services       11.30  74.2  Bull       0.77   20.29       0.05      61.3     NaN
98    PLBL     8.34   3.60   26.46       3.1       Consumer Cyclical                         Department Stores       14.90  61.3  Bull       0.28   17.46       0.11      60.8     NaN
99     FLR    52.38   0.72    4.44       7.3             Industrials                Engineering & Construction        8.44  61.4  Bull       0.47   20.60       0.11      60.7     NaN
100    CXT    46.09  -0.35   12.39       2.7             Industrials            Specialty Industrial Machinery       10.77  68.1  Bull       1.12   18.74       0.04      59.5    4.50
101   AVBP    32.56   4.51    7.83       1.5              Healthcare                             Biotechnology       12.96  64.0  Bull       0.15   19.64       0.14      59.4    5.00
102   IBKR    96.59   1.17    8.74     163.8      Financial Services                           Capital Markets       15.35  71.6  Bull       0.78   15.39       0.15      59.4    4.36
103   AXTA    33.97  -0.09    3.95       7.3         Basic Materials                       Specialty Chemicals       11.24  69.5  Bull       0.20   18.20       0.06      59.3    3.73
104    IFS    57.15  -0.69    3.45       6.3      Financial Services                          Banks - Regional       15.81  68.5  Bull       0.66   15.70       0.04      59.0    4.33
105    OPY   109.98   2.15    8.76       1.2      Financial Services                           Capital Markets       11.56  69.4  Bull       1.59   15.45       0.31      58.8     NaN
106   INTC   133.27   7.19   13.95     669.8              Technology                            Semiconductors       31.38  63.9  Bull       0.64   12.03       0.38      58.6    3.38
107    BAP   385.83  -0.72    4.74      30.7      Financial Services                          Banks - Regional       15.12  69.7  Bull       4.34   15.77       0.02      58.5    4.29
108    DYN    20.21   7.39   12.59       3.3              Healthcare                             Biotechnology       11.59  61.9  Bull       0.23   15.09       0.28      58.3    4.56
109   GRDN    43.60   0.45    1.20       2.8              Healthcare                   Medical Care Facilities       12.17  74.3  Bull       0.25   15.85       0.12      57.9    4.83
110    CAT   987.01   2.49    9.96     454.6             Industrials       Farm & Heavy Construction Machinery       13.60  65.6  Bull       5.14   13.12       0.35      57.9    3.89
111   KYMR    92.07   2.41   10.98       7.6              Healthcare                             Biotechnology       12.04  68.9  Bull       1.88   14.15       0.26      57.4    4.70
112    SEI    81.20  -4.25    6.79       7.6                  Energy            Oil & Gas Equipment & Services       14.80  60.9  Bull       0.89   13.84       0.10      57.1    4.50
113   VCEL    40.34   4.10    4.59       2.1              Healthcare                             Biotechnology       13.24  70.1  Bull       0.45   13.95       0.18      57.1    4.75
114    MFG    10.36  -0.43    8.88     126.3      Financial Services                          Banks - Regional       14.19  73.2  Bull       0.06   14.53       0.05      57.0     NaN
115   URGN    33.35   1.63   13.03       1.6              Healthcare                             Biotechnology       23.49  72.5  Bull       0.43   10.34       0.15      56.6    4.57
116   BCAX    23.39   2.05    9.92       1.5              Healthcare                             Biotechnology       10.81  65.0  Bull       0.33   14.49       0.19      56.5     NaN
117    OSW    27.04   0.86    8.99       2.7       Consumer Cyclical                                   Leisure       11.74  72.8  Bull       0.32   13.33       0.25      56.3    5.00
