=== Stock Screener — 2026-06-09 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2741 stocks with market cap > $1B
  Top 5 by daily gain: TNGX(+53.0%), ENHA(+39.8%), GLXY(+21.4%), ALVO(+19.8%), CBRS(+18.3%)
Screening 2741 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2441

  === Priority Tier ===
  Priority: 300/300 (131 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2441 (178 total passed)
  Remaining: 600/2441 (178 total passed)
  Remaining: 900/2441 (178 total passed)
  Remaining: 1200/2441 (178 total passed)
  Remaining: 1500/2441 (178 total passed)
  Remaining: 1800/2441 (178 total passed)
  Remaining: 2100/2441 (178 total passed)
  Remaining: 2400/2441 (178 total passed)
  Remaining: 2441/2441 (178 total passed)

  Final: 178 stocks passed all filters

================================================================================
  178 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
37    ASML  1818.98   4.21   6.66     701.1              Technology       Semiconductor Equipment & Materials       18.22  67.2  Bull      14.31   16.17       0.23      62.2    4.52
38    SHOO    46.18   1.94   4.81       3.4       Consumer Cyclical                    Footwear & Accessories       15.06  74.2  Bull       0.28   19.31       0.04      62.1    4.00
39    PRKS    43.14   3.55   7.26       2.0       Consumer Cyclical                                   Leisure       16.43  68.2  Bull       0.42   18.09       0.03      61.5     NaN
40     SLG    51.12   5.17  13.24       3.9             Real Estate                             REIT - Office       17.87  74.8  Bull       0.58   15.59       0.19      61.1    3.67
41     CRI    40.12   2.44   0.79       1.5       Consumer Cyclical                            Apparel Retail        9.18  61.8  Bull       0.19   23.39       0.02      60.5     NaN
42    VGNT    50.19   4.56  11.14       3.6       Consumer Cyclical                                Auto Parts       25.17  69.4  Bull       0.32   14.80       0.01      59.9    4.33
43    UHAL    60.63   1.84   7.78      11.5             Industrials                 Rental & Leasing Services       14.88  70.7  Bull       0.69   16.73       0.05      59.6    3.00
44    FTRE    17.13   0.98  11.52       1.6              Healthcare                             Biotechnology       27.29  69.3  Bull       0.16   14.28       0.04      59.6    3.67
45    GIII    35.42  -0.49   8.73       1.5       Consumer Cyclical                     Apparel Manufacturing       14.23  71.8  Bull       0.39   17.07       0.03      59.5    4.33
46     JEF    59.79   3.00  10.23      12.2      Financial Services                           Capital Markets       17.61  79.4  Bull       0.47   14.92       0.05      59.2    4.00
