Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
INFQ,17.67,20.2,42.04,3.9,Technology,Software - Infrastructure,37.13,67.2,Bull,0.31,33.16,1.38,86.5,5.0
RGTI,25.37,15.11,42.13,8.4,Technology,Computer Hardware,40.79,69.8,Bull,0.43,52.74,1.22,85.2,4.15
QBTS,28.52,10.8,40.15,10.6,Technology,Computer Hardware,41.04,68.7,Bull,0.36,54.25,0.85,82.1,4.67
QUBT,12.65,10.82,20.37,2.9,Technology,Computer Hardware,34.73,65.4,Bull,0.09,41.44,0.64,80.3,4.33
GFS,87.31,7.33,22.92,47.9,Technology,Semiconductors,42.82,75.4,Bull,0.49,41.3,0.37,78.1,3.9
IONQ,63.13,7.2,21.52,23.6,Technology,Computer Hardware,39.94,68.8,Bull,0.41,47.88,0.33,77.8,4.62
PURR,8.65,2.0,23.75,1.2,Financial Services,Capital Markets,38.55,73.3,Bull,0.2,44.17,0.31,77.6,4.67
SMTC,153.71,4.9,11.67,14.3,Technology,Semiconductors,39.41,75.8,Bull,1.6,40.0,0.3,77.5,4.79
VSH,45.66,8.28,22.64,6.2,Technology,Semiconductors,58.12,85.2,Bull,0.67,61.97,0.28,77.3,3.33
RDW,17.22,12.18,22.48,3.4,Industrials,Aerospace & Defense,56.83,78.2,Bull,0.58,77.89,0.26,77.2,4.5
ASTS,102.21,6.21,22.15,39.6,Technology,Communication Equipment,22.14,66.1,Bull,3.4,33.78,0.2,76.7,3.36
LUNR,37.11,8.38,9.5,6.0,Industrials,Aerospace & Defense,39.51,68.6,Bull,0.37,45.36,0.2,76.6,4.44
BLDP,5.55,2.12,24.61,1.7,Industrials,Electrical Equipment & Parts,56.35,75.7,Bull,0.1,69.05,0.18,76.5,3.08
NVTS,26.56,8.92,24.55,6.2,Technology,Semiconductors,68.14,69.6,Bull,0.41,53.68,0.18,76.5,3.12
WYFI,29.45,-0.34,21.69,1.1,Technology,Information Technology Services,48.33,67.0,Bull,0.45,77.95,0.17,76.4,4.56
ALAB,314.21,5.5,35.04,53.9,Technology,Semiconductors,62.83,79.8,Bull,8.47,47.63,0.17,76.4,4.19
AEVA,23.12,7.58,12.92,1.5,Technology,Software - Infrastructure,39.73,69.4,Bull,0.52,42.98,0.16,76.4,4.6
WOLF,79.54,14.45,28.03,3.8,Technology,Semiconductors,108.07,80.4,Bull,1.96,154.71,0.16,76.3,2.5
FCEL,26.55,0.65,24.3,1.4,Industrials,Electrical Equipment & Parts,102.05,77.2,Bull,0.86,137.48,0.16,76.3,2.62
ENPH,62.34,0.0,17.87,8.2,Technology,Solar,52.27,77.3,Bull,2.63,74.28,0.12,76.0,3.39
KEEL,4.76,2.69,8.54,2.9,Technology,Information Technology Services,44.52,71.4,Bull,0.03,44.83,0.12,76.0,4.67
UMC,18.22,-0.72,5.92,45.7,Technology,Semiconductors,37.95,84.0,Bull,0.17,48.36,0.11,75.9,
MDA,41.97,1.89,10.83,5.8,Industrials,Aerospace & Defense,23.68,72.5,Bull,0.6,30.14,0.1,75.9,4.67
INOD,101.03,2.54,5.13,3.3,Technology,Information Technology Services,62.94,73.4,Bull,2.3,138.62,0.1,75.8,4.75
TSEM,284.24,1.88,3.75,33.8,Technology,Semiconductors,34.77,68.0,Bull,3.46,41.74,0.08,75.7,4.6
GH,119.25,1.05,25.63,15.8,Healthcare,Diagnostics & Research,24.97,77.6,Bull,2.74,34.12,0.08,75.7,4.64
CSCO,119.8,1.35,1.35,472.2,Technology,Communication Equipment,27.35,80.5,Bull,1.66,34.59,0.08,75.7,4.12
PANW,255.71,1.1,5.3,207.4,Technology,Software - Infrastructure,31.0,82.5,Bull,4.01,43.22,0.07,75.6,4.41
VPG,105.92,1.8,8.83,1.4,Technology,Scientific & Technical Instruments,57.76,78.8,Bull,2.47,74.72,0.08,75.6,5.0
SYNA,137.27,3.73,7.05,5.3,Technology,Semiconductors,37.55,72.8,Bull,1.01,46.25,0.07,75.6,4.31
PENG,50.13,2.7,7.07,2.6,Technology,Information Technology Services,51.86,79.9,Bull,0.29,63.34,0.06,75.5,4.43
HIMX,19.93,0.2,4.56,3.5,Technology,Semiconductors,47.94,67.7,Bull,0.11,64.85,0.06,75.5,4.33
DDOG,224.15,2.8,7.78,79.8,Technology,Software - Application,41.65,84.4,Bull,2.9,73.12,0.05,75.4,4.58
CYD,56.94,2.3,13.88,2.1,Consumer Cyclical,Auto Manufacturers,25.46,80.1,Bull,1.1,34.8,0.04,75.4,4.5
FPS,48.68,0.33,8.13,14.8,Industrials,Electrical Equipment & Parts,27.07,66.7,Bull,0.32,38.53,0.05,75.4,4.6
GTX,33.38,0.48,7.75,6.2,Consumer Cyclical,Auto Parts,37.35,80.2,Bull,0.26,58.88,0.04,75.4,3.83
DELL,281.79,11.47,16.45,183.1,Technology,Computer Hardware,36.64,73.9,Bull,1.26,30.4,0.45,75.1,4.0
ARX,17.01,0.15,10.2,3.7,Financial Services,Insurance Brokers,22.52,71.0,Bull,0.38,29.59,0.04,74.9,4.4
NSIT,95.62,2.19,7.56,2.9,Technology,Electronics & Computer Distribution,19.3,74.7,Bull,1.47,30.57,0.02,74.8,3.6
OUST,36.05,2.74,3.41,2.3,Technology,Electronic Components,35.8,66.6,Bull,0.42,27.75,0.19,74.3,4.67
ARM,297.35,-0.29,42.17,316.4,Technology,Semiconductors,54.09,75.1,Bull,6.36,26.64,0.21,73.4,4.12
CLSK,16.18,2.7,23.46,4.2,Financial Services,Capital Markets,30.53,70.4,Bull,0.17,26.84,0.11,72.8,4.75
IX,39.12,-0.36,6.74,43.0,Financial Services,Financial Conglomerates,15.97,73.9,Bull,0.34,28.68,0.04,72.0,3.0
FSLR,249.1,0.09,6.74,26.8,Technology,Solar,15.6,68.9,Bull,2.35,28.56,0.06,71.9,3.91
CMPS,11.98,3.36,15.53,1.6,Healthcare,Medical Care Facilities,39.58,70.3,Bull,0.1,25.05,0.21,71.8,4.64
GRAL,69.41,2.28,16.36,3.0,Healthcare,Diagnostics & Research,16.24,69.7,Bull,0.89,27.55,0.06,71.2,4.0
RXO,24.35,-0.04,30.28,4.0,Industrials,Trucking,31.79,67.5,Bull,0.35,25.65,0.04,71.0,3.32
NTAP,132.34,6.77,10.35,26.2,Technology,Software - Infrastructure,19.46,80.1,Bull,0.95,21.74,0.19,68.1,3.6
MRCY,97.17,0.84,5.58,5.8,Industrials,Aerospace & Defense,13.29,68.9,Bull,0.75,24.59,0.04,66.5,4.0
MAAS,11.52,6.21,14.1,5.1,Financial Services,Asset Management,36.09,68.4,Bull,0.05,25.26,0.23,66.3,
HPQ,23.8,8.68,14.37,21.8,Technology,Computer Hardware,16.52,71.9,Bull,0.12,20.26,0.36,66.3,2.94
BRKR,45.6,1.38,6.34,6.9,Healthcare,Medical Devices,12.68,66.7,Bull,0.27,24.76,0.01,66.2,4.08
WMG,35.26,1.97,5.47,18.4,Communication Services,Entertainment,16.8,73.7,Bull,0.25,21.84,0.04,65.6,4.35
HLIT,14.42,13.54,14.99,1.6,Technology,Communication Equipment,27.89,78.0,Bull,0.04,36.55,0.54,65.1,3.57
ERIC,13.51,2.02,8.06,44.9,Technology,Communication Equipment,13.78,72.5,Bull,0.12,19.85,0.26,63.9,
LPL,5.06,2.43,4.98,5.1,Technology,Consumer Electronics,13.2,58.5,Bull,0.03,21.05,0.05,63.1,
RLJ,9.61,0.0,7.37,1.5,Real Estate,REIT - Hotel & Motel,14.66,78.4,Bull,0.06,20.58,0.02,63.1,3.17
PRCT,29.43,1.73,12.67,1.7,Healthcare,Medical Devices,13.12,64.9,Bull,0.4,20.81,0.01,62.5,4.0
LLY,1063.01,2.05,5.78,947.9,Healthcare,Drug Manufacturers - General,9.64,68.4,Bull,8.77,20.46,0.11,61.2,4.29
LUCK,8.82,-0.56,7.56,1.2,Consumer Cyclical,Leisure,7.85,60.3,Bull,0.12,21.82,0.01,60.9,4.0
ORA,134.86,0.73,2.63,8.3,Utilities,Utilities - Renewable,12.96,70.1,Bull,1.0,19.08,0.03,60.8,4.18
BB,7.18,7.97,15.99,4.2,Technology,Software - Infrastructure,39.82,80.8,Bull,0.02,41.06,0.19,60.3,
MTSI,379.55,-0.24,1.05,29.0,Technology,Semiconductors,27.03,72.1,Bull,1.03,31.95,0.17,60.3,4.4
IBM,262.36,3.71,19.64,246.6,Technology,Information Technology Services,10.02,70.5,Bull,4.27,13.93,0.74,60.1,4.1
BLFS,24.83,0.36,19.61,1.2,Healthcare,Medical Instruments & Supplies,14.65,69.3,Bull,0.33,16.14,0.04,58.8,4.9
SKYT,37.9,2.43,9.16,1.9,Technology,Semiconductors,17.92,69.9,Bull,0.19,12.86,0.14,58.0,
ASST,19.5,5.23,16.14,1.4,Financial Services,Asset Management,32.38,67.5,Bull,0.05,23.42,0.56,57.4,4.75
F,14.1,3.11,5.19,56.2,Consumer Cyclical,Auto Manufacturers,12.23,64.9,Bull,0.15,15.29,0.11,57.3,3.29
TXG,25.03,1.42,18.07,3.2,Healthcare,Health Information Services,14.29,64.9,Bull,0.36,13.36,0.08,56.1,3.69
MFG,9.35,0.81,7.54,113.9,Financial Services,Banks - Regional,9.18,65.4,Bull,0.06,15.23,0.07,55.4,4.0
IOVA,3.93,6.35,14.06,1.8,Healthcare,Biotechnology,10.09,59.0,Bull,0.02,14.39,0.11,55.4,4.4
AAL,13.71,0.88,11.37,9.1,Industrials,Airlines,11.24,65.5,Bull,0.08,13.31,0.11,54.8,3.81
PAA,23.97,1.24,4.69,16.9,Energy,Oil & Gas Midstream,9.96,71.9,Bull,0.16,13.51,0.05,53.9,3.61
PAGP,25.81,1.18,5.09,6.0,Energy,Oil & Gas Midstream,10.03,73.8,Bull,0.2,13.43,0.03,53.7,3.67
HTLD,14.28,0.04,7.41,1.1,Industrials,Trucking,17.18,69.9,Bull,0.07,9.63,0.05,53.6,3.0
RNW,5.88,0.43,9.81,2.1,Utilities,Utilities - Renewable,10.37,66.1,Bull,0.03,12.98,0.03,53.4,4.5
